hsv1[0],hsv2[0],hsv3[0],hsv4[0]
348,6,6,10
352,12,6,14
356,22,12,18
356,24,18,18
356,24,16,20
6,32,22,26
10,44,28,30
6,48,28,26
8,52,28,28
22,60,44,44
24,62,48,46
32,70,58,54
38,78,66,64
48,84,74,70
54,86,80,74
60,92,84,78
70,96,86,84
76,100,90,88
80,104,96,92
90,116,98,100
98,118,108,106
104,118,116,116
114,118,118,118
112,118,118,122
116,118,118,124
124,118,120,126
128,122,132,128
134,130,134,134
140,134,138,136
152,136,144,136
156,138,146,142
166,138,148,140
172,142,150,146
180,146,154,148
192,148,160,150
206,156,166,156
216,164,178,168
218,168,186,172
224,172,192,178
230,182,202,188
236,188,212,192
242,200,222,210
248,208,230,214
252,216,236,224
250,220,236,228
250,228,242,232
250,230,244,234
250,236,242,234
252,232,248,238
250,232,248,238
254,236,252,244
254,242,252,246
258,246,258,252
262,258,266,264
266,260,268,274
274,272,276,290
282,280,282,302
286,292,290,308
294,298,294,314
298,310,302,320
306,312,304,326
312,318,314,328
314,326,320,332
320,330,324,336
324,330,326,342
326,338,332,346
330,346,342,352
334,348,344,352
336,354,346,356
340,0,350,0
344,2,354,8
348,6,358,6
352,8,2,6
