hsv1[0],hsv2[0],hsv3[0],hsv4[0]
348,2,352,358
350,8,356,4
350,12,356,0
352,16,0,14
358,18,12,16
2,22,16,32
4,30,26,42
4,34,32,46
356,36,38,60
14,44,46,64
18,50,54,68
28,58,64,76
36,66,72,84
44,74,80,90
54,78,82,94
64,84,88,100
76,90,94,110
86,94,98,118
100,100,104,116
112,108,118,118
122,116,118,118
132,116,118,116
140,118,120,118
138,118,118,118
140,118,122,118
140,118,124,118
142,118,130,116
150,126,134,116
152,130,140,118
156,136,144,120
154,138,148,128
160,140,150,130
164,144,154,134
166,148,158,138
172,152,164,140
184,162,174,148
194,168,184,152
200,178,192,160
206,186,198,166
210,198,208,174
214,202,214,182
222,208,220,182
224,218,228,196
230,226,236,210
232,232,238,218
240,240,242,228
240,242,248,234
242,246,250,242
240,246,248,240
244,248,250,236
246,250,254,240
256,256,254,248
260,260,256,250
268,268,260,262
274,272,266,270
282,280,272,282
290,290,276,288
296,298,284,298
304,304,290,306
312,314,296,314
318,320,304,318
320,324,308,322
326,326,314,326
328,332,320,332
332,334,324,336
332,338,328,340
336,342,330,344
336,344,334,346
340,348,336,348
342,350,344,352
344,358,346,354
346,4,350,358
348,6,354,0
