hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,4,2,14
352,6,2,18
358,8,4,22
0,8,8,22
0,16,16,30
10,30,24,36
14,36,24,44
16,40,34,46
16,48,42,66
18,66,46,72
28,64,50,70
32,70,56,70
36,74,64,74
44,80,70,80
54,92,84,90
62,98,92,98
70,102,98,100
80,110,102,104
86,114,106,106
90,120,114,110
98,132,118,114
106,134,126,114
110,134,124,116
114,130,126,120
118,132,132,120
120,136,128,124
122,136,132,120
128,136,134,122
132,140,136,126
134,142,136,126
140,146,140,130
144,146,144,132
152,146,144,134
148,148,144,136
156,152,148,136
160,154,150,136
166,156,154,140
176,160,156,144
202,166,166,144
210,174,178,152
220,178,190,156
226,190,200,172
236,210,220,182
240,220,220,200
242,220,232,204
250,232,234,202
250,232,236,218
248,240,240,222
252,240,240,216
254,236,242,220
258,234,246,224
260,250,250,244
268,250,256,232
274,258,264,254
282,268,278,260
294,280,286,300
300,286,304,322
310,304,316,328
314,312,322,338
318,318,324,344
322,320,326,340
324,324,332,356
330,330,336,358
332,330,336,356
336,334,340,4
338,342,346,4
338,346,348,8
342,352,350,8
344,354,354,14
348,358,356,12
350,358,0,14
352,358,2,16
352,2,4,20
