hsv1[0],hsv2[0],hsv3[0],hsv4[0]
354,10,2,12
352,14,4,16
356,18,4,20
358,24,14,28
358,22,20,28
10,32,28,44
4,32,32,44
4,36,42,54
6,44,36,60
18,48,50,68
20,52,56,72
28,60,68,78
38,70,76,86
52,76,84,90
58,80,88,94
76,86,94,96
84,90,100,102
94,96,104,108
104,104,110,112
116,114,114,116
130,116,126,116
140,118,130,118
142,118,132,116
144,116,132,118
142,118,132,118
142,116,132,116
146,118,138,116
150,126,140,122
152,132,144,124
156,136,148,130
160,140,150,132
164,142,152,132
164,144,156,136
168,150,162,140
172,154,166,142
184,162,174,148
194,170,182,154
196,176,186,158
198,182,196,162
208,194,208,168
212,204,216,174
220,210,222,188
230,222,232,208
232,230,238,216
236,232,240,226
240,238,246,232
240,240,246,238
240,240,248,238
240,240,248,238
240,246,248,242
244,248,250,242
248,254,256,250
258,258,258,250
264,266,260,258
272,270,266,268
280,280,268,278
286,288,276,292
292,296,282,298
300,300,286,304
308,308,294,318
312,314,302,322
316,318,306,326
322,326,314,330
324,330,318,340
328,332,326,344
330,336,330,348
332,342,336,354
336,346,340,358
338,350,348,0
340,354,350,0
346,2,354,6
348,6,358,6
350,14,2,8
