hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,8,0,14
352,0,2,12
358,4,8,18
2,12,10,20
10,22,16,24
16,30,28,36
22,46,38,50
22,64,44,66
32,68,52,70
30,62,50,60
38,68,56,70
46,76,68,72
54,82,76,80
62,92,82,86
68,94,88,86
72,98,90,96
76,106,98,96
82,112,104,102
88,120,104,104
94,124,112,108
100,120,124,110
108,122,124,118
110,126,126,118
112,118,130,118
118,124,128,122
118,124,130,120
130,132,134,130
138,136,140,132
138,140,142,132
146,142,144,138
150,146,148,138
154,148,150,140
162,150,152,144
170,156,158,148
180,160,162,150
196,170,168,158
202,178,180,164
208,182,186,168
220,190,196,174
228,196,204,182
236,206,216,200
244,214,224,210
248,224,232,222
254,230,242,232
254,236,244,238
254,242,246,240
254,244,248,246
254,246,250,250
254,248,250,250
256,248,254,250
254,248,254,250
254,254,256,256
258,254,260,260
262,260,266,264
266,262,268,270
272,270,272,278
280,276,282,284
286,280,284,292
292,286,292,302
298,292,298,308
304,296,304,314
310,304,310,322
314,308,318,326
320,316,322,332
324,322,328,340
328,322,332,346
330,330,336,352
334,334,340,356
336,342,344,354
340,344,350,0
346,348,352,2
350,354,354,8
350,352,356,4
