hsv1[0],hsv2[0],hsv3[0],hsv4[0]
230,246,106,204
190,252,96,160
288,94,220,130
186,284,102,246
22,124,6,118
346,328,124,16
8,292,210,76
32,118,346,126
194,88,334,28
146,130,186,92
142,246,134,8
40,238,156,232
330,342,4,146
-1,306,32,268
166,22,190,138
2,322,326,8
84,354,266,308
144,318,246,192
162,136,262,326
342,12,232,16
170,262,40,134
322,356,134,118
216,200,350,4
144,206,246,158
274,146,294,232
180,346,246,242
232,118,46,218
208,74,286,340
226,256,320,70
158,38,84,140
26,230,356,150
250,6,150,346
0,222,314,98
232,190,130,170
16,148,134,118
212,248,158,10
358,232,16,212
234,52,134,352
338,-1,136,286
352,118,164,50
74,118,168,350
304,160,282,74
118,154,196,136
258,46,250,228
328,142,244,176
96,184,340,118
242,176,68,102
262,280,298,344
226,272,146,234
314,66,302,118
350,336,356,118
282,10,176,4
294,310,330,38
128,212,248,330
236,58,8,250
142,118,228,156
156,20,258,118
58,240,4,358
158,4,240,118
356,4,276,136
12,104,144,58
336,296,134,118
204,138,136,118
312,166,-1,108
346,330,238,320
142,118,60,84
336,118,254,232
234,150,76,258
148,348,204,276
144,28,22,-1
144,242,152,304
320,266,272,232
154,84,138,292
