hsv1[0],hsv2[0],hsv3[0],hsv4[0]
10,22,12,24
8,22,18,22
10,22,18,22
10,22,26,26
14,22,22,22
16,30,24,22
22,30,24,34
16,30,24,34
16,34,32,42
18,42,32,38
22,42,32,56
26,60,46,62
30,74,56,74
36,82,64,78
42,84,76,76
64,96,74,88
70,100,84,94
74,100,88,100
74,106,100,96
84,112,100,100
96,118,112,104
100,118,108,110
104,118,108,114
106,118,108,118
110,120,108,114
108,118,104,118
118,120,108,114
126,122,108,118
130,126,118,118
136,128,118,118
134,132,126,112
124,132,134,118
148,138,132,118
160,140,138,120
180,154,146,126
206,162,158,140
214,184,180,150
220,196,196,146
224,200,202,160
230,208,208,164
238,218,216,190
238,212,218,212
242,230,226,240
242,230,234,224
242,232,238,240
242,234,248,240
246,234,250,240
248,246,250,240
250,238,250,240
244,238,250,240
250,236,250,240
248,250,250,248
246,250,250,248
252,244,250,250
258,244,254,252
272,256,272,264
276,266,284,320
286,286,300,346
298,296,312,336
302,304,314,330
310,312,324,348
324,332,328,348
330,332,336,348
346,332,338,6
344,340,354,356
340,340,0,352
344,340,0,0
346,348,10,4
350,348,6,4
356,10,6,10
356,356,8,10
354,356,2,16
358,10,8,10
