hsv1[0],hsv2[0],hsv3[0],hsv4[0]
354,248,202,84
224,100,6,36
4,4,288,132
134,84,72,16
256,166,88,350
18,192,330,328
84,98,74,14
0,298,90,160
262,122,30,78
102,18,256,266
218,32,242,-1
18,250,338,102
78,228,126,8
254,76,-1,296
238,250,176,208
356,144,256,18
-1,2,86,264
56,202,86,68
350,4,0,12
44,92,102,82
282,66,4,258
-1,36,118,76
254,350,14,214
260,20,48,8
70,306,114,98
194,78,82,48
12,252,350,346
340,24,86,180
354,4,90,138
320,12,248,84
118,136,-1,232
2,218,20,20
38,6,260,0
86,-1,66,24
292,52,346,80
258,100,90,340
300,356,56,332
80,4,358,112
8,-1,8,246
22,70,12,86
-1,252,8,36
64,124,20,26
254,8,24,56
52,46,280,114
84,104,150,128
32,342,210,68
12,-1,234,-1
358,2,34,6
80,316,262,358
92,136,216,82
96,112,80,94
136,2,358,30
244,100,294,160
6,176,110,2
326,26,136,6
212,284,38,14
96,88,226,16
276,94,100,324
180,210,352,84
86,346,358,0
74,160,188,14
70,330,10,246
4,92,84,198
112,248,324,-1
332,8,318,92
158,110,6,154
88,246,168,256
232,6,302,182
354,214,-1,266
28,100,258,8
344,128,252,88
310,334,88,94
250,0,78,82
