hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,358,0,358
358,2,2,6
0,2,8,10
0,6,10,14
6,10,10,14
4,16,16,22
8,18,22,28
12,24,24,36
14,28,32,38
14,32,34,46
20,38,42,60
26,48,56,72
32,60,72,80
38,70,74,86
46,76,84,96
62,84,90,100
72,88,96,100
86,100,102,106
86,98,100,108
102,104,106,112
114,110,112,114
122,112,118,116
124,116,118,118
126,114,120,122
132,116,120,122
128,116,120,122
132,120,124,122
138,124,126,124
142,128,134,126
152,130,140,126
154,134,144,132
160,134,144,134
162,142,148,136
172,144,158,138
176,152,166,142
192,162,180,148
198,174,190,156
-1,-1,-1,-1
210,192,204,168
216,204,212,184
218,210,218,192
222,218,222,204
224,220,226,212
226,226,228,216
228,228,232,222
232,230,232,226
232,230,234,228
230,234,234,230
230,234,236,234
230,234,236,232
234,238,238,234
238,238,240,234
244,244,242,240
250,250,248,250
258,256,250,250
268,264,258,260
284,280,270,278
296,292,276,294
308,308,284,306
320,318,292,316
-1,-1,-1,-1
330,328,316,330
-1,-1,-1,-1
-1,-1,-1,-1
342,346,334,346
346,348,342,346
348,350,344,352
350,350,344,350
352,352,348,358
354,356,352,354
356,358,354,0
358,0,358,0
356,0,2,0
