hsv1[0],hsv2[0],hsv3[0],hsv4[0]
8,6,10,14
4,8,8,12
10,10,8,12
8,10,14,18
10,12,14,22
12,16,16,20
12,20,18,32
14,22,26,38
14,26,26,40
20,30,34,46
20,34,36,46
22,38,46,60
28,52,52,70
36,62,68,76
44,70,72,82
48,76,80,90
68,84,86,92
68,90,92,98
80,92,94,100
92,100,96,104
108,104,100,106
108,106,106,112
116,114,104,106
114,114,108,112
114,114,106,112
116,114,110,112
116,114,110,110
120,114,114,110
122,116,114,112
134,122,124,114
134,128,130,110
140,130,136,118
150,132,136,120
152,134,140,122
158,142,148,128
172,154,162,136
188,170,182,142
190,182,194,142
200,190,202,156
210,204,208,170
210,210,214,182
218,216,222,186
224,224,228,196
224,228,230,190
226,228,232,222
226,232,238,212
228,234,240,240
224,232,242,240
228,232,248,240
230,232,246,240
236,238,250,248
242,248,250,248
248,248,252,256
270,262,258,264
280,272,268,316
300,286,278,340
312,302,282,338
320,316,294,348
326,318,300,340
332,324,312,344
338,338,320,346
344,342,330,0
346,346,338,0
354,354,344,8
356,358,348,8
2,0,358,10
2,0,0,10
358,0,0,16
4,2,2,12
4,6,2,12
4,8,6,12
6,6,8,12
4,8,4,12
