hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,6,0,8
0,4,4,6
2,8,8,12
2,10,8,10
4,14,10,16
6,16,12,16
10,26,22,20
10,28,24,18
14,32,26,26
16,38,32,30
16,46,36,30
20,54,46,38
28,62,50,42
32,76,66,56
40,86,76,64
46,90,84,70
56,94,88,80
62,100,94,82
72,100,100,90
90,108,106,98
96,114,110,104
100,114,114,106
104,114,114,106
106,118,116,108
108,118,114,110
110,118,116,110
114,120,118,112
124,122,122,116
132,124,130,118
136,128,132,120
150,130,136,120
156,132,138,124
160,140,146,130
182,144,152,136
192,144,158,138
208,156,176,152
212,170,188,160
218,178,196,172
220,190,202,188
-1,-1,-1,-1
228,206,214,200
230,210,218,204
234,214,222,210
234,222,224,216
236,224,230,224
236,226,232,224
238,228,232,226
238,228,232,226
238,230,236,224
240,230,236,222
242,232,238,228
244,232,234,232
248,238,244,242
252,244,250,250
258,250,244,260
266,258,260,278
276,266,266,292
282,276,272,306
294,290,286,322
300,302,294,332
312,312,308,340
318,324,320,342
324,334,326,348
332,334,332,352
336,340,342,358
342,346,340,356
344,350,350,358
348,350,348,356
350,358,348,0
352,0,358,2
354,2,358,6
356,0,2,6
358,0,2,6
