hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,2,0,4
0,4,6,8
2,4,8,12
4,8,14,12
6,18,16,18
10,24,18,26
14,26,22,32
18,34,26,34
20,44,34,42
24,46,40,46
32,62,48,62
36,74,58,72
44,84,70,76
48,90,72,84
58,96,80,88
62,98,90,88
72,104,90,92
80,104,92,100
90,112,106,100
96,112,106,104
94,116,106,104
96,118,110,104
96,114,106,104
100,118,108,104
96,118,108,100
96,118,110,102
106,124,118,102
112,122,118,110
126,132,122,110
130,138,128,114
136,140,134,122
144,144,140,124
152,146,138,126
168,152,152,138
182,160,158,144
200,168,176,150
212,178,188,160
216,194,192,166
220,196,206,182
230,210,214,196
236,216,220,204
238,224,230,214
242,228,234,220
246,232,234,222
250,238,242,232
250,244,246,236
250,244,250,246
246,236,240,246
244,238,240,236
246,236,244,238
248,242,246,244
250,242,250,246
252,246,250,250
254,246,250,248
258,250,254,250
268,256,264,260
272,264,270,274
280,270,278,286
288,276,288,290
296,284,296,306
308,296,308,316
314,306,314,324
320,314,320,328
328,324,328,336
332,328,336,340
338,332,340,346
344,340,342,354
344,344,350,350
348,348,352,358
350,352,352,358
352,356,356,2
354,356,358,4
354,356,358,4
