hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,2,0,2
354,2,0,0
356,6,2,0
356,8,2,0
356,10,4,6
358,14,8,10
358,22,12,12
0,22,12,14
4,26,12,18
6,32,20,24
10,36,22,26
14,46,30,34
18,56,44,46
26,70,54,58
32,74,62,70
36,82,66,78
48,88,86,86
62,96,84,90
70,102,92,98
84,106,106,104
94,110,104,116
100,108,110,114
108,116,118,118
118,118,122,124
118,116,118,126
124,118,122,126
126,124,122,128
138,126,130,132
152,128,136,136
166,132,136,142
174,134,146,144
174,136,146,144
184,142,156,146
192,146,162,152
202,150,168,160
210,158,184,170
218,172,202,180
222,176,206,190
224,192,206,196
230,198,218,206
230,208,222,214
234,212,228,216
234,218,230,220
234,226,232,224
236,226,236,226
238,228,238,230
240,230,238,230
240,232,236,232
240,234,236,234
240,232,238,232
240,232,236,232
244,236,240,234
250,236,244,242
252,244,250,250
258,250,250,254
264,262,262,266
274,278,268,278
284,288,276,290
290,300,290,304
300,310,302,312
308,322,308,324
316,328,316,328
322,334,324,330
328,340,328,342
332,342,330,344
336,344,342,346
340,352,340,350
346,358,348,354
348,356,348,356
352,356,352,356
354,2,356,0
356,0,356,0
354,358,358,354
