hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,356,350,354
350,356,350,352
352,0,354,354
352,4,356,0
352,6,356,0
354,12,0,2
-1,-1,-1,-1
356,28,14,12
2,34,20,20
6,38,20,24
8,48,28,28
16,58,40,36
22,70,52,48
22,76,54,54
26,84,66,60
32,86,68,70
42,92,80,78
54,98,88,84
56,100,94,90
72,108,98,98
88,112,96,104
96,114,114,110
110,116,118,118
108,118,116,118
114,120,116,122
114,122,116,122
114,120,118,126
136,128,136,128
144,130,130,136
160,132,138,136
168,136,142,138
174,138,150,140
182,142,154,144
192,146,160,146
200,148,166,158
210,160,178,166
216,170,198,176
222,184,198,184
224,188,210,194
230,200,216,204
232,206,224,210
234,216,226,214
236,218,230,218
236,220,234,224
238,224,236,226
240,228,236,226
242,230,242,230
242,232,240,232
242,232,240,232
244,234,242,234
246,234,242,236
250,240,246,240
252,238,248,244
258,248,252,254
264,252,258,262
272,260,268,274
282,274,276,288
288,282,280,298
296,292,288,310
304,300,302,318
310,310,308,324
316,318,316,330
320,324,322,332
324,328,326,338
328,334,328,338
330,334,332,340
336,340,336,342
340,340,340,346
342,344,340,348
344,348,346,348
348,350,348,348
350,352,352,352
352,354,352,350
