hsv1[0],hsv2[0],hsv3[0],hsv4[0]
220,340,130,348
356,358,68,10
18,340,16,220
234,188,192,230
226,230,294,174
350,288,236,146
352,92,242,122
2,114,122,14
32,198,264,78
288,140,50,160
200,148,348,22
42,106,340,114
314,222,96,2
326,312,116,150
240,118,304,230
0,334,2,326
236,228,342,272
8,348,350,356
72,226,100,138
202,54,310,348
248,18,352,300
354,144,146,184
240,236,142,216
176,130,286,122
348,222,76,46
320,120,0,260
354,184,140,54
250,276,158,346
28,352,200,236
184,206,168,190
72,60,8,70
212,14,336,324
236,106,230,338
100,134,174,354
330,4,218,252
340,248,0,124
280,70,142,154
352,142,324,358
16,300,224,82
226,34,106,356
304,82,242,38
164,22,354,242
4,326,78,104
272,128,50,232
238,240,234,6
96,358,352,224
116,320,240,246
110,358,42,232
348,112,22,126
182,254,100,286
114,266,318,356
262,78,224,130
334,108,206,350
38,348,226,62
240,228,246,206
356,0,38,108
296,162,254,316
20,330,350,16
236,30,110,310
152,348,114,340
336,234,236,144
352,172,230,228
86,228,28,132
234,124,352,196
232,10,274,100
230,92,12,356
310,2,328,206
344,156,258,354
138,116,6,134
256,216,212,222
356,40,332,332
124,354,240,28
240,214,126,340
