hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,354,348,356
348,356,350,358
350,352,350,358
350,352,354,358
350,358,352,358
356,0,358,8
354,0,0,10
0,4,6,16
0,10,12,20
8,16,20,26
6,18,22,30
10,20,22,32
12,26,30,44
16,30,36,46
24,40,52,64
38,54,58,70
46,66,70,76
70,76,76,90
80,82,88,92
100,90,98,102
102,102,106,100
120,112,106,104
122,114,118,104
142,116,118,100
136,118,118,108
134,120,122,108
138,126,128,110
138,118,126,114
144,126,134,118
152,134,136,110
156,132,144,118
144,138,140,114
156,140,144,118
156,142,154,122
160,144,152,122
160,144,158,130
168,158,166,134
174,160,172,134
188,180,188,142
190,186,200,152
210,198,210,158
210,214,216,174
228,222,226,208
232,230,236,226
232,234,242,236
234,242,244,246
244,248,248,248
242,248,250,246
248,250,248,254
248,248,250,248
250,252,252,262
264,258,260,272
280,272,270,286
286,282,278,294
296,298,288,306
314,314,296,334
322,326,312,330
328,326,316,332
330,332,322,340
336,336,328,340
338,338,328,340
340,340,328,348
340,342,332,346
342,342,332,344
342,344,340,348
346,348,340,352
346,348,340,350
346,350,342,354
348,352,346,352
348,352,348,356
350,352,348,354
350,352,350,356
352,352,350,354
