hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,0,0,0
0,4,4,6
2,6,4,4
0,8,4,12
0,8,6,14
2,12,10,16
4,16,16,20
6,18,20,28
8,22,26,38
8,24,28,40
10,28,32,46
18,36,42,54
24,46,52,72
34,56,70,80
40,64,74,88
46,74,82,94
68,84,90,100
78,90,98,104
94,100,102,108
112,110,110,116
124,112,118,116
130,116,124,118
136,118,126,122
138,124,130,122
136,122,130,126
142,124,132,126
140,130,132,128
146,130,136,132
152,134,142,132
156,136,148,134
156,142,150,134
160,144,152,134
162,146,156,136
170,152,164,142
176,160,170,146
188,170,180,152
196,180,190,160
200,190,196,168
204,196,204,176
208,204,208,188
214,210,216,196
218,216,218,206
220,224,222,212
222,228,226,216
226,228,228,216
228,230,232,226
230,234,234,226
232,236,236,232
232,236,236,232
234,238,236,232
234,242,238,234
238,244,244,238
246,248,246,238
252,258,250,248
262,262,256,252
272,272,260,268
288,284,270,276
294,294,278,288
306,306,288,304
316,312,294,314
322,322,304,322
328,324,312,326
332,332,318,334
338,338,326,340
340,342,332,342
344,346,336,346
350,350,340,352
350,352,348,356
352,356,350,354
354,0,352,0
356,358,358,4
358,2,0,2
0,0,0,4
