hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,2,2,8
2,4,2,10
4,6,6,12
6,10,8,12
8,12,10,18
10,20,16,26
12,24,22,28
16,32,30,38
14,34,28,38
20,42,34,46
22,46,40,54
26,56,46,56
34,72,58,70
36,82,66,76
42,84,72,80
46,92,80,86
56,100,86,90
62,102,92,100
70,108,98,100
88,116,112,108
94,118,112,108
96,120,112,108
100,122,120,112
100,122,118,112
104,124,122,112
104,124,122,116
112,132,130,120
118,134,130,122
130,136,136,126
140,144,140,128
148,146,146,132
152,148,148,132
164,150,152,140
178,158,160,144
186,164,164,146
200,172,174,158
208,184,186,168
212,192,194,176
216,196,198,182
222,206,206,196
228,210,212,202
230,216,220,212
234,220,222,216
236,226,226,222
236,226,228,224
238,228,230,228
240,230,234,230
240,230,234,230
240,232,234,232
240,234,236,234
242,234,238,236
244,236,238,234
248,238,244,238
254,244,248,246
258,250,250,250
270,258,262,262
280,268,272,272
286,274,280,282
292,282,288,290
300,290,296,302
308,298,306,312
312,306,312,320
320,314,320,328
326,320,326,338
330,328,332,340
334,334,336,344
340,340,344,352
344,344,348,358
350,348,350,356
354,356,356,4
358,358,0,4
358,0,2,6
0,0,2,8
