k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
2,2,8,6,1,"(4, 12)",1,539,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.05100000,0.26680000,14->12
2,2,8,6,1,"(4, 12)",2,540,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.04200000,0.24900000,25->12
2,2,8,6,1,"(4, 12)",3,538,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.03700000,0.25400000,14->12
2,2,8,6,1,"(4, 12)",4,535,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.03600000,0.26295000,14->12
2,2,8,6,1,"(4, 12)",5,542,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.03600000,0.25780000,14->12
2,2,8,6,1,"(4, 12)",6,532,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.01800000,0.25320000,14->12
2,2,8,6,1,"(4, 12)",7,148,baseline_global_guarded,"[40, 85, 100, 115, 120, 130, 145, 170, 205, 220, 235, 240, 290, 335, 350]",0.00000000,"[0.00000000, 0.00000000]",0.00600000,0.25930000,11->12
2,2,8,6,1,"(4, 12)",8,537,anchor_worst_targeted,"[35, 50, 75, 145, 200, 215, 235, 255, 285, 295, 315, 340, 345, 350, 365]",0.00000000,"[0.00000000, 0.00000000]",0.00300000,0.25195000,14->12
2,2,8,6,1,"(4, 12)",9,170,baseline_global_guarded,"[25, 45, 75, 125, 155, 170, 180, 195, 230, 245, 255, 275, 310, 315, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.34440000,13->12
2,2,8,6,1,"(4, 12)",10,970,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.33290000,2->12
2,2,8,6,1,"(4, 12)",11,967,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.33200000,2->12
2,2,8,6,1,"(4, 12)",12,968,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.32955000,2->12
2,2,8,6,1,"(4, 12)",13,975,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.32825000,2->12
2,2,8,6,1,"(4, 12)",14,964,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.32635000,2->12
2,2,8,6,1,"(4, 12)",15,969,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.32170000,2->12
2,2,8,6,1,"(4, 12)",16,962,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.32065000,2->12
2,2,8,6,1,"(4, 12)",17,976,anchor_worst_targeted,"[65, 80, 85, 105, 135, 160, 175, 180, 195, 245, 305, 310, 325, 330, 340]",0.00000000,"[0.00000000, 0.00000000]",0.00000000,0.32065000,2->12
