k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
4,4,8,4,1,"(8, 14, 22, 27)",1,112,anchor_worst_targeted,"[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.36200000,0.45789286,21->27
4,4,8,4,1,"(8, 14, 22, 27)",2,98,anchor_worst_targeted,"[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.34500000,0.45153571,21->27
4,4,8,4,1,"(8, 14, 22, 27)",3,108,anchor_worst_targeted,"[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.34400000,0.45825000,21->27
4,4,8,4,1,"(8, 14, 22, 27)",4,104,anchor_worst_targeted,"[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.33200000,0.45210714,28->27
4,4,8,4,1,"(8, 14, 22, 27)",5,102,anchor_worst_targeted,"[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.32500000,0.44796429,28->27
4,4,8,4,1,"(8, 14, 22, 27)",6,105,anchor_worst_targeted,"[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31700000,0.44889286,28->27
4,4,8,4,1,"(8, 14, 22, 27)",7,152,anchor_worst_targeted,"[5, 25, 65, 110, 130, 165, 220, 240, 250, 265, 275, 285, 305, 330, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.27700000,0.44417857,16->27
4,4,8,4,1,"(8, 14, 22, 27)",8,167,anchor_worst_targeted,"[30, 50, 60, 70, 95, 100, 115, 120, 180, 185, 195, 205, 285, 315, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.18400000,0.44717857,18->14
4,4,8,4,1,"(8, 14, 22, 27)",9,77,anchor_worst_targeted,"[10, 25, 35, 50, 80, 95, 110, 160, 170, 205, 210, 215, 250, 285, 315]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.26700000,0.43203571,11->22
4,4,8,4,1,"(8, 14, 22, 27)",10,23,baseline_global_guarded,"[10, 40, 80, 120, 140, 155, 160, 190, 195, 225, 230, 250, 305, 315, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.17700000,0.43746429,3->8
