k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",1,83,anchor_worst_targeted,"[10, 15, 185, 190, 200, 210, 235, 240, 250, 255, 285, 295, 300, 335, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.32400000,0.45755556,24->14
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",2,196,anchor_worst_targeted,"[30, 45, 50, 65, 80, 90, 150, 155, 165, 260, 280, 285, 305, 320, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31400000,0.44816667,2->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",3,85,anchor_worst_targeted,"[10, 15, 185, 190, 200, 210, 235, 240, 250, 255, 285, 295, 300, 335, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30400000,0.45458333,24->14
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",4,189,anchor_worst_targeted,"[30, 45, 50, 65, 80, 90, 150, 155, 165, 260, 280, 285, 305, 320, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30400000,0.44658333,2->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",5,74,anchor_worst_targeted,"[10, 15, 185, 190, 200, 210, 235, 240, 250, 255, 285, 295, 300, 335, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29900000,0.45516667,24->19
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",6,191,anchor_worst_targeted,"[30, 45, 50, 65, 80, 90, 150, 155, 165, 260, 280, 285, 305, 320, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29200000,0.44986111,10->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",7,30,baseline_global_guarded,"[10, 45, 115, 130, 135, 155, 175, 180, 190, 200, 205, 235, 305, 320, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.28500000,0.45266667,7->1
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",8,61,anchor_worst_targeted,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.15500000,0.44563889,8->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",9,55,anchor_worst_targeted,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21700000,0.45075000,8->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",10,70,anchor_worst_targeted,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.18600000,0.44663889,8->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",11,33,baseline_global_guarded,"[10, 45, 115, 130, 135, 155, 175, 180, 190, 200, 205, 235, 305, 320, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25200000,0.44822222,4->19
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",12,160,anchor_worst_targeted,"[5, 30, 45, 75, 90, 135, 155, 175, 210, 235, 255, 260, 300, 310, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.15800000,0.44358333,2->19
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",13,40,baseline_global_guarded,"[20, 55, 60, 70, 90, 100, 145, 160, 195, 225, 230, 285, 300, 305, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21500000,0.44450000,3->19
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",14,163,anchor_worst_targeted,"[5, 30, 45, 75, 90, 135, 155, 175, 210, 235, 255, 260, 300, 310, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.14200000,0.44494444,2->19
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",15,96,anchor_worst_targeted,"[30, 50, 105, 145, 175, 180, 210, 225, 255, 260, 280, 310, 320, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21900000,0.45105556,3->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",16,31,baseline_global_guarded,"[10, 45, 115, 130, 135, 155, 175, 180, 190, 200, 205, 235, 305, 320, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.26800000,0.44538889,7->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",17,77,anchor_worst_targeted,"[10, 15, 185, 190, 200, 210, 235, 240, 250, 255, 285, 295, 300, 335, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.26800000,0.45994444,24->14
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",18,103,anchor_worst_targeted,"[30, 50, 105, 145, 175, 180, 210, 225, 255, 260, 280, 310, 320, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19600000,0.45663889,3->16
6,6,8,2,1,"(1, 13, 14, 16, 18, 19)",19,97,anchor_worst_targeted,"[30, 50, 105, 145, 175, 180, 210, 225, 255, 260, 280, 310, 320, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.24200000,0.45652778,3->16
