k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",1,328,anchor_worst_targeted,"[30, 40, 45, 60, 100, 130, 215, 270, 280, 285, 305, 315, 330, 355, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.32500000,0.45603571,6->24
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",2,323,anchor_worst_targeted,"[30, 40, 45, 60, 100, 130, 215, 270, 280, 285, 305, 315, 330, 355, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31800000,0.45752381,6->24
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",3,278,anchor_worst_targeted,"[25, 45, 50, 95, 100, 130, 145, 155, 190, 240, 250, 300, 305, 335, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31500000,0.45402381,27->9
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",4,248,anchor_worst_targeted,"[25, 30, 75, 85, 90, 135, 150, 175, 210, 215, 230, 245, 265, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30800000,0.44872619,16->24
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",5,236,anchor_worst_targeted,"[25, 30, 75, 85, 90, 135, 150, 175, 210, 215, 230, 245, 265, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30700000,0.45698810,28->5
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",6,245,anchor_worst_targeted,"[25, 30, 75, 85, 90, 135, 150, 175, 210, 215, 230, 245, 265, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30600000,0.45555952,7->5
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",7,342,anchor_worst_targeted,"[10, 15, 25, 80, 100, 125, 160, 180, 265, 275, 285, 295, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.23100000,0.44842857,4->11
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",8,133,anchor_worst_targeted,"[15, 35, 40, 80, 100, 105, 115, 125, 165, 170, 185, 200, 210, 215, 245]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.16300000,0.45708333,20->5
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",9,62,baseline_global_guarded,"[20, 45, 60, 85, 115, 145, 155, 185, 235, 240, 255, 265, 325, 330, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21400000,0.45521429,7->24
7,7,8,1,1,"(2, 5, 9, 11, 18, 21, 24)",10,294,anchor_worst_targeted,"[30, 55, 65, 80, 95, 100, 180, 200, 205, 220, 260, 270, 275, 335, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.24600000,0.45946429,4->24
