k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
2,2,8,6,1,"(6, 12)",1,481,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.05000000,0.28436364,8->6
2,2,8,6,1,"(6, 12)",2,487,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.04300000,0.27636364,18->6
2,2,8,6,1,"(6, 12)",3,488,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.04000000,0.30609091,8->6
2,2,8,6,1,"(6, 12)",4,486,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.03700000,0.29200000,8->6
2,2,8,6,1,"(6, 12)",5,475,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.03600000,0.27309091,18->6
2,2,8,6,1,"(6, 12)",6,478,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.03300000,0.28390909,8->6
2,2,8,6,1,"(6, 12)",7,483,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.03200000,0.29190909,8->6
2,2,8,6,1,"(6, 12)",8,474,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.03200000,0.29063636,18->6
2,2,8,6,1,"(6, 12)",9,485,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.02900000,0.29790909,18->6
2,2,8,6,1,"(6, 12)",10,484,anchor_worst_targeted,"[10, 25, 50, 85, 120, 190, 195, 215, 225, 235, 275, 285, 335, 345, 350]",0.00000000,"[0.00000000, 0.00000000]",0.02000000,0.29945455,8->6
