k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",1,295,anchor_worst_targeted,"[35, 45, 100, 105, 135, 145, 170, 200, 220, 230, 265, 335, 340, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.44200000,0.47529167,18->19
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",2,286,anchor_worst_targeted,"[35, 45, 100, 105, 135, 145, 170, 200, 220, 230, 265, 335, 340, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.42500000,0.47045833,26->27
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",3,64,baseline_global_guarded,"[15, 25, 50, 55, 65, 100, 105, 130, 180, 230, 235, 250, 295, 310, 320]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.40000000,0.46929167,26->28
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",4,283,anchor_worst_targeted,"[35, 45, 100, 105, 135, 145, 170, 200, 220, 230, 265, 335, 340, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.39800000,0.46862500,26->27
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",5,290,anchor_worst_targeted,"[35, 45, 100, 105, 135, 145, 170, 200, 220, 230, 265, 335, 340, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.39100000,0.46737500,26->11
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",6,191,anchor_worst_targeted,"[20, 45, 50, 65, 75, 95, 110, 140, 155, 185, 240, 290, 310, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.39000000,0.46895833,26->27
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",7,61,baseline_global_guarded,"[15, 25, 50, 55, 65, 100, 105, 130, 180, 230, 235, 250, 295, 310, 320]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31500000,0.46395833,26->21
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",8,206,anchor_worst_targeted,"[45, 70, 100, 105, 115, 180, 205, 250, 255, 260, 265, 285, 290, 330, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.33300000,0.45487500,26->16
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",9,1,baseline_global_guarded,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.33000000,0.45495833,18->3
8,8,8,0,2,"(3, 11, 16, 19, 21, 22, 27, 28)",10,85,anchor_worst_targeted,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.33000000,0.45495833,18->3
