k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
10,10,10,0,1,"(1, 2, 4, 5, 13, 14, 16, 18, 19, 23)",1,21,baseline_global_guarded,"[5, 45, 70, 75, 85, 115, 150, 165, 190, 220, 235, 250, 290, 310, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21300000,0.44436667,28->4
10,10,10,0,1,"(1, 2, 4, 5, 13, 14, 16, 18, 19, 23)",2,73,anchor_worst_targeted,"[5, 10, 45, 115, 145, 175, 180, 230, 255, 260, 275, 300, 335, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.20700000,0.45247778,7->1
10,10,10,0,1,"(1, 2, 4, 5, 13, 14, 16, 18, 19, 23)",3,29,baseline_global_guarded,"[20, 90, 95, 115, 135, 150, 180, 210, 220, 225, 255, 275, 305, 320, 330]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19600000,0.45174444,10->18
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",1,73,anchor_worst_targeted,"[10, 15, 30, 55, 65, 95, 120, 125, 145, 160, 230, 250, 285, 325, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.22800000,0.45283333,14->27
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",2,1,baseline_global_guarded,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.22300000,0.45014444,14->10
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",3,21,anchor_worst_targeted,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.22300000,0.45014444,14->10
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",4,89,anchor_worst_targeted,"[45, 55, 90, 125, 130, 135, 205, 230, 240, 255, 275, 280, 320, 340, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21900000,0.45232222,24->18
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",5,41,anchor_worst_targeted,"[15, 20, 65, 70, 105, 115, 120, 130, 135, 155, 160, 175, 310, 330, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.16600000,0.45185556,14->28
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",6,121,anchor_worst_targeted,"[5, 15, 75, 85, 95, 105, 115, 125, 195, 200, 210, 300, 305, 310, 325]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.11400000,0.44272222,23->10
10,10,10,0,2,"(2, 4, 5, 7, 8, 10, 18, 19, 27, 28)",7,57,anchor_worst_targeted,"[5, 15, 20, 45, 55, 85, 155, 160, 190, 215, 220, 280, 320, 340, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21200000,0.44658889,13->4
