k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
3,3,9,6,1,"(2, 5, 26)",1,331,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.06800000,0.43527083,17->26
3,3,9,6,1,"(2, 5, 26)",2,350,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.03500000,0.41716667,21->26
3,3,9,6,1,"(2, 5, 26)",3,355,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04000000,0.41252083,21->26
3,3,9,6,1,"(2, 5, 26)",4,330,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.11200000,0.43818750,27->5
3,3,9,6,1,"(2, 5, 26)",5,354,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.05800000,0.41491667,21->26
3,3,9,6,1,"(2, 5, 26)",6,132,probe_repair,"[5, 10, 25, 55, 80, 100, 105, 110, 135, 220, 240, 250, 280, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.19800000,0.42225000,6->26
3,3,9,6,1,"(2, 5, 26)",7,328,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.11500000,0.43197917,27->5
3,3,9,6,1,"(2, 5, 26)",8,329,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.10300000,0.43122917,17->26
3,3,9,6,1,"(2, 5, 26)",9,126,probe_repair,"[5, 10, 25, 55, 80, 100, 105, 110, 135, 220, 240, 250, 280, 335, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18700000,0.42504167,16->2
3,3,9,6,1,"(2, 5, 26)",10,627,probe_repair,"[35, 50, 55, 60, 145, 190, 235, 240, 275, 315, 330, 335, 355, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.10000000,0.41693750,21->5
3,3,9,6,2,"(4, 16, 18)",1,396,probe_repair,"[50, 75, 85, 95, 105, 125, 180, 190, 195, 200, 220, 310, 315, 330, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.15400000,0.43220000,11->4
3,3,9,6,2,"(4, 16, 18)",2,25,probe_repair,"[5, 10, 40, 65, 90, 180, 195, 200, 250, 270, 275, 295, 315, 330, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.10200000,0.42453333,11->16
3,3,9,6,2,"(4, 16, 18)",3,341,probe_repair,"[15, 30, 95, 130, 135, 160, 185, 190, 240, 245, 260, 330, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.42004444,11->4
3,3,9,6,2,"(4, 16, 18)",4,397,probe_repair,"[60, 75, 100, 135, 140, 150, 155, 220, 225, 235, 265, 310, 325, 330, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.40891111,15->16
3,3,9,6,2,"(4, 16, 18)",5,1045,probe_repair,"[5, 20, 25, 30, 70, 120, 165, 195, 240, 260, 275, 290, 300, 315, 330]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.36217778,9->16
3,3,9,6,2,"(4, 16, 18)",6,93,probe_repair,"[75, 110, 130, 140, 170, 185, 205, 260, 265, 275, 285, 305, 315, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.36022222,11->18
3,3,9,6,2,"(4, 16, 18)",7,1386,probe_repair,"[5, 35, 40, 50, 65, 80, 110, 115, 140, 160, 200, 245, 255, 270, 330]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.20800000,0.44011111,20->16
3,3,9,6,2,"(4, 16, 18)",8,1042,probe_repair,"[75, 85, 90, 100, 165, 180, 195, 205, 215, 240, 250, 255, 260, 270, 285]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.20800000,0.44644444,11->16
3,3,9,6,2,"(4, 16, 18)",9,1336,probe_repair,"[25, 45, 80, 110, 115, 135, 210, 240, 245, 250, 270, 280, 285, 290, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.02200000,0.42742222,22->16
3,3,9,6,2,"(4, 16, 18)",10,1233,probe_repair,"[30, 60, 120, 130, 145, 155, 165, 190, 225, 235, 245, 310, 315, 330, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.15900000,0.44137778,21->4
3,3,9,6,3,"(21, 22, 27)",1,608,probe_repair,"[80, 90, 110, 145, 160, 190, 195, 270, 275, 300, 310, 315, 325, 345, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28500000,0.45211111,6->21
3,3,9,6,3,"(21, 22, 27)",2,1470,probe_repair,"[25, 85, 90, 140, 155, 165, 185, 200, 215, 220, 255, 275, 350, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.26800000,0.44722222,28->27
3,3,9,6,3,"(21, 22, 27)",3,716,probe_repair,"[10, 55, 100, 110, 120, 155, 160, 220, 225, 235, 250, 255, 290, 320, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.24800000,0.43351111,9->21
3,3,9,6,3,"(21, 22, 27)",4,1571,probe_repair,"[10, 15, 25, 50, 100, 115, 160, 165, 170, 230, 300, 315, 325, 335, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.05300000,0.42440000,17->22
3,3,9,6,3,"(21, 22, 27)",5,607,probe_repair,"[80, 90, 110, 145, 160, 190, 195, 270, 275, 300, 310, 315, 325, 345, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29900000,0.45431111,6->21
3,3,9,6,3,"(21, 22, 27)",6,127,probe_repair,"[5, 10, 20, 35, 40, 55, 85, 150, 165, 195, 240, 255, 335, 345, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.02000000,0.43362222,16->22
3,3,9,6,3,"(21, 22, 27)",7,1473,probe_repair,"[25, 85, 90, 140, 155, 165, 185, 200, 215, 220, 255, 275, 350, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.16600000,0.43375556,7->22
3,3,9,6,3,"(21, 22, 27)",8,1471,probe_repair,"[25, 85, 90, 140, 155, 165, 185, 200, 215, 220, 255, 275, 350, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18600000,0.43657778,7->22
3,3,9,6,3,"(21, 22, 27)",9,1091,probe_repair,"[5, 45, 70, 105, 115, 140, 155, 185, 200, 230, 235, 245, 250, 275, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.01800000,0.43844444,15->22
3,3,9,6,3,"(21, 22, 27)",10,1180,probe_repair,"[40, 55, 70, 95, 135, 140, 175, 180, 235, 250, 260, 275, 320, 325, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.19700000,0.43728889,15->22
3,3,9,6,4,"(4, 21, 28)",1,1306,probe_repair,"[40, 50, 75, 95, 120, 125, 150, 185, 195, 215, 235, 295, 305, 330, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.16500000,0.43442222,20->28
3,3,9,6,4,"(4, 21, 28)",2,601,probe_repair,"[30, 55, 65, 75, 80, 90, 120, 195, 205, 240, 295, 305, 320, 330, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.14800000,0.42802222,26->28
3,3,9,6,4,"(4, 21, 28)",3,696,probe_repair,"[35, 85, 110, 120, 125, 245, 250, 280, 285, 295, 305, 315, 345, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.05900000,0.43626667,26->28
3,3,9,6,4,"(4, 21, 28)",4,160,probe_repair,"[70, 85, 90, 105, 145, 150, 185, 195, 210, 240, 255, 265, 275, 315, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.17300000,0.44644444,17->21
3,3,9,6,4,"(4, 21, 28)",5,177,probe_repair,"[40, 65, 75, 80, 90, 100, 140, 150, 165, 225, 230, 250, 255, 285, 295]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.22800000,0.44542222,9->4
3,3,9,6,4,"(4, 21, 28)",6,1063,probe_repair,"[10, 15, 25, 35, 45, 70, 125, 165, 180, 190, 240, 245, 265, 280, 315]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.10400000,0.42548889,7->28
3,3,9,6,4,"(4, 21, 28)",7,187,probe_repair,"[20, 70, 90, 130, 135, 140, 145, 185, 200, 225, 275, 280, 285, 290, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.26800000,0.43624444,18->4
3,3,9,6,4,"(4, 21, 28)",8,164,probe_repair,"[70, 85, 90, 105, 145, 150, 185, 195, 210, 240, 255, 265, 275, 315, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.16300000,0.44604444,11->4
3,3,9,6,4,"(4, 21, 28)",9,182,probe_repair,"[20, 70, 90, 130, 135, 140, 145, 185, 200, 225, 275, 280, 285, 290, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.24900000,0.43953333,17->4
3,3,9,6,4,"(4, 21, 28)",10,457,probe_repair,"[25, 30, 70, 80, 85, 95, 140, 145, 195, 210, 260, 285, 325, 330, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.12600000,0.44442222,25->28
3,3,9,6,5,"(20, 21, 28)",1,559,probe_repair,"[20, 35, 45, 110, 125, 135, 140, 200, 240, 245, 265, 300, 325, 340, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.23200000,0.44586667,4->28
3,3,9,6,5,"(20, 21, 28)",2,527,probe_repair,"[15, 20, 30, 40, 60, 120, 210, 215, 230, 235, 240, 265, 315, 340, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.13800000,0.43897778,18->20
3,3,9,6,5,"(20, 21, 28)",3,526,probe_repair,"[15, 20, 30, 40, 60, 120, 210, 215, 230, 235, 240, 265, 315, 340, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.12000000,0.43117778,18->20
3,3,9,6,5,"(20, 21, 28)",4,651,probe_repair,"[10, 20, 60, 65, 70, 75, 80, 85, 90, 135, 165, 180, 245, 265, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.06600000,0.42828889,17->20
3,3,9,6,5,"(20, 21, 28)",5,602,probe_repair,"[5, 110, 135, 160, 165, 225, 230, 235, 270, 305, 310, 315, 325, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.11300000,0.42502222,18->20
3,3,9,6,5,"(20, 21, 28)",6,273,probe_repair,"[5, 20, 85, 90, 120, 220, 230, 240, 265, 285, 290, 310, 320, 350, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.15900000,0.43015556,7->28
3,3,9,6,5,"(20, 21, 28)",7,557,probe_repair,"[20, 35, 45, 110, 125, 135, 140, 200, 240, 245, 265, 300, 325, 340, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.37511111,4->28
3,3,9,6,5,"(20, 21, 28)",8,293,probe_repair,"[20, 25, 65, 125, 145, 155, 165, 220, 225, 250, 255, 290, 305, 320, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.35180000,4->28
3,3,9,6,5,"(20, 21, 28)",9,1125,probe_repair,"[75, 100, 110, 175, 185, 190, 210, 215, 260, 290, 300, 315, 320, 330, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.34860000,7->21
3,3,9,6,5,"(20, 21, 28)",10,381,probe_repair,"[15, 70, 75, 100, 130, 140, 165, 170, 190, 200, 255, 275, 305, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.34071111,4->28
3,3,9,6,6,"(2, 20, 22)",1,228,probe_repair,"[10, 15, 30, 75, 95, 110, 135, 145, 205, 225, 265, 275, 285, 290, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.20400000,0.44242222,25->20
3,3,9,6,6,"(2, 20, 22)",2,581,probe_repair,"[10, 25, 45, 60, 85, 95, 115, 145, 155, 165, 190, 210, 270, 320, 325]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.36664444,9->22
3,3,9,6,6,"(2, 20, 22)",3,882,probe_repair,"[5, 15, 55, 95, 120, 125, 130, 140, 155, 190, 215, 240, 265, 290, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.43413333,17->2
3,3,9,6,6,"(2, 20, 22)",4,1062,probe_repair,"[5, 25, 35, 90, 120, 150, 160, 165, 225, 230, 260, 265, 280, 340, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.17400000,0.43764444,28->2
3,3,9,6,6,"(2, 20, 22)",5,140,probe_repair,"[10, 25, 40, 130, 145, 175, 205, 240, 250, 285, 295, 310, 325, 330, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.10600000,0.43926667,25->20
3,3,9,6,6,"(2, 20, 22)",6,1064,probe_repair,"[5, 25, 35, 90, 120, 150, 160, 165, 225, 230, 260, 265, 280, 340, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18300000,0.43540000,28->2
