k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
3,3,9,6,1,"(2, 5, 26)",1,1962,probe_repair,"[15, 50, 125, 130, 145, 150, 155, 170, 200, 225, 260, 265, 280, 300, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.19300000,0.42950000,24->26
3,3,9,6,1,"(2, 5, 26)",2,2403,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.03000000,0.42050000,22->26
3,3,9,6,1,"(2, 5, 26)",3,2305,probe_repair,"[20, 55, 105, 115, 135, 155, 165, 180, 185, 190, 240, 245, 295, 335, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.23800000,0.43141667,28->2
3,3,9,6,1,"(2, 5, 26)",4,1965,probe_repair,"[15, 50, 125, 130, 145, 150, 155, 170, 200, 225, 260, 265, 280, 300, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.23500000,0.42993750,15->26
3,3,9,6,1,"(2, 5, 26)",5,638,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.13800000,0.44120833,17->26
3,3,9,6,1,"(2, 5, 26)",6,635,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.06800000,0.43527083,17->26
3,3,9,6,1,"(2, 5, 26)",7,1550,probe_repair,"[20, 35, 60, 80, 85, 120, 145, 270, 275, 285, 300, 315, 325, 330, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.13800000,0.43960417,24->5
3,3,9,6,1,"(2, 5, 26)",8,1555,probe_repair,"[20, 35, 60, 80, 85, 120, 145, 270, 275, 285, 300, 315, 325, 330, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.12800000,0.43664583,24->5
3,3,9,6,1,"(2, 5, 26)",9,2402,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04700000,0.42235417,22->26
3,3,9,6,1,"(2, 5, 26)",10,689,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.05000000,0.41364583,21->26
3,3,9,6,1,"(2, 5, 26)",11,2399,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04200000,0.42004167,18->26
3,3,9,6,1,"(2, 5, 26)",12,2295,probe_repair,"[20, 55, 105, 115, 135, 155, 165, 180, 185, 190, 240, 245, 295, 335, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.15400000,0.42856250,28->2
3,3,9,6,1,"(2, 5, 26)",13,678,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.03500000,0.41716667,21->26
3,3,9,6,1,"(2, 5, 26)",14,2401,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04500000,0.42391667,18->26
3,3,9,6,1,"(2, 5, 26)",15,1230,probe_repair,"[35, 50, 55, 60, 145, 190, 235, 240, 275, 315, 330, 335, 355, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.13600000,0.42100000,21->5
3,3,9,6,1,"(2, 5, 26)",16,683,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04000000,0.41252083,21->26
3,3,9,6,1,"(2, 5, 26)",17,1907,probe_repair,"[25, 30, 45, 90, 110, 140, 145, 170, 185, 225, 235, 255, 310, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.19200000,0.44089583,17->5
3,3,9,6,1,"(2, 5, 26)",18,2391,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.07500000,0.41735417,22->26
3,3,9,6,1,"(2, 5, 26)",19,2400,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.02900000,0.42345833,18->26
3,3,9,6,1,"(2, 5, 26)",20,1959,probe_repair,"[15, 50, 125, 130, 145, 150, 155, 170, 200, 225, 260, 265, 280, 300, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.21000000,0.42885417,15->26
3,3,9,6,2,"(4, 16, 18)",1,764,probe_repair,"[50, 75, 85, 95, 105, 125, 180, 190, 195, 200, 220, 310, 315, 330, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.15400000,0.43220000,11->4
3,3,9,6,2,"(4, 16, 18)",2,3696,probe_repair,"[50, 75, 105, 110, 125, 160, 190, 215, 230, 240, 255, 275, 285, 345, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.20700000,0.45404444,26->4
3,3,9,6,2,"(4, 16, 18)",3,2445,probe_repair,"[30, 60, 120, 130, 145, 155, 165, 190, 225, 235, 245, 310, 315, 330, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.20500000,0.44395556,21->4
3,3,9,6,2,"(4, 16, 18)",4,2898,probe_repair,"[5, 75, 80, 100, 125, 155, 165, 180, 185, 190, 205, 295, 305, 340, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04300000,0.43815556,11->18
3,3,9,6,2,"(4, 16, 18)",5,4098,probe_repair,"[5, 45, 70, 80, 85, 90, 95, 105, 130, 140, 180, 195, 235, 300, 315]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00400000,0.42766667,25->18
