k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
3,3,8,5,1,"(2, 5, 26)",1,2396,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.05400000,0.41672917,18->26
3,3,8,5,1,"(2, 5, 26)",2,634,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.08900000,0.43562500,17->26
3,3,8,5,1,"(2, 5, 26)",3,2393,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.05600000,0.41825000,18->26
3,3,8,5,1,"(2, 5, 26)",4,2404,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.01000000,0.41408333,18->26
3,3,8,5,1,"(2, 5, 26)",5,2302,probe_repair,"[20, 55, 105, 115, 135, 155, 165, 180, 185, 190, 240, 245, 295, 335, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.21800000,0.43237500,28->2
3,3,8,5,1,"(2, 5, 26)",6,1698,probe_repair,"[25, 35, 65, 75, 110, 120, 200, 215, 270, 295, 330, 340, 355, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.13300000,0.41654167,24->26
3,3,8,5,1,"(2, 5, 26)",7,2395,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.03600000,0.42220833,18->26
3,3,8,5,1,"(2, 5, 26)",8,1907,probe_repair,"[25, 30, 45, 90, 110, 140, 145, 170, 185, 225, 235, 255, 310, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.19000000,0.43681250,17->5
3,3,8,5,1,"(2, 5, 26)",9,685,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04200000,0.41002083,6->26
3,3,8,5,1,"(2, 5, 26)",10,507,probe_repair,"[10, 25, 35, 55, 65, 120, 140, 220, 225, 260, 275, 280, 335, 355, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.12400000,0.43347917,17->2
3,3,8,5,1,"(2, 5, 26)",11,688,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.04600000,0.41556250,21->26
3,3,8,5,1,"(2, 5, 26)",12,1544,probe_repair,"[20, 35, 60, 80, 85, 120, 145, 270, 275, 285, 300, 315, 325, 330, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.15000000,0.43004167,24->5
3,3,8,5,1,"(2, 5, 26)",13,1963,probe_repair,"[15, 50, 125, 130, 145, 150, 155, 170, 200, 225, 260, 265, 280, 300, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.13300000,0.41935417,24->26
3,3,8,5,1,"(2, 5, 26)",14,690,probe_repair,"[10, 85, 90, 100, 120, 130, 135, 170, 270, 285, 290, 315, 325, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.03600000,0.41070833,21->26
3,3,8,5,1,"(2, 5, 26)",15,1900,probe_repair,"[25, 30, 45, 90, 110, 140, 145, 170, 185, 225, 235, 255, 310, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18500000,0.44135417,11->2
3,3,8,5,1,"(2, 5, 26)",16,2399,probe_repair,"[5, 55, 75, 100, 110, 120, 135, 170, 185, 210, 255, 260, 285, 305, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.03500000,0.41670833,18->26
3,3,8,5,1,"(2, 5, 26)",17,1902,probe_repair,"[25, 30, 45, 90, 110, 140, 145, 170, 185, 225, 235, 255, 310, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.17200000,0.43512500,17->5
3,3,8,5,1,"(2, 5, 26)",18,636,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.10700000,0.42200000,17->26
3,3,8,5,1,"(2, 5, 26)",19,640,probe_repair,"[5, 80, 85, 125, 180, 185, 205, 210, 235, 275, 280, 315, 325, 340, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.09600000,0.43204167,17->26
3,3,8,5,1,"(2, 5, 26)",20,1099,probe_repair,"[5, 15, 20, 50, 60, 65, 75, 95, 100, 140, 160, 270, 335, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.06300000,0.43066667,21->5
3,3,8,5,2,"(4, 16, 18)",1,6338,probe_repair,"[15, 20, 80, 90, 105, 130, 215, 220, 240, 255, 285, 305, 325, 330, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.11100000,0.41380000,11->18
3,3,8,5,2,"(4, 16, 18)",2,3873,probe_repair,"[35, 60, 95, 120, 125, 160, 190, 195, 200, 205, 210, 225, 305, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18800000,0.43642222,17->16
3,3,8,5,2,"(4, 16, 18)",3,3865,probe_repair,"[35, 60, 95, 120, 125, 160, 190, 195, 200, 205, 210, 225, 305, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.17000000,0.43682222,17->16
3,3,8,5,2,"(4, 16, 18)",4,2828,probe_repair,"[10, 20, 35, 45, 75, 105, 120, 140, 185, 200, 250, 295, 300, 305, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.08500000,0.43455556,7->16
3,3,8,5,2,"(4, 16, 18)",5,661,probe_repair,"[15, 30, 95, 130, 135, 160, 185, 190, 240, 245, 260, 330, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.42004444,11->4
3,3,8,5,2,"(4, 16, 18)",6,773,probe_repair,"[60, 75, 100, 135, 140, 150, 155, 220, 225, 235, 265, 310, 325, 330, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.40891111,15->16
3,3,8,5,2,"(4, 16, 18)",7,3861,probe_repair,"[35, 60, 95, 120, 125, 160, 190, 195, 200, 205, 210, 225, 305, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.38553333,22->16
3,3,8,5,2,"(4, 16, 18)",8,5493,probe_repair,"[35, 50, 90, 100, 115, 125, 150, 160, 215, 235, 240, 295, 310, 320, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.37657778,9->16
3,3,8,5,2,"(4, 16, 18)",9,2069,probe_repair,"[5, 20, 25, 30, 70, 120, 165, 195, 240, 260, 275, 290, 300, 315, 330]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.36217778,9->16
3,3,8,5,2,"(4, 16, 18)",10,165,probe_repair,"[75, 110, 130, 140, 170, 185, 205, 260, 265, 275, 285, 305, 315, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.36022222,11->18
3,3,8,5,2,"(4, 16, 18)",11,4517,probe_repair,"[75, 85, 105, 125, 135, 165, 185, 215, 225, 245, 260, 275, 295, 300, 325]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.35755556,11->4
3,3,8,5,2,"(4, 16, 18)",12,4581,probe_repair,"[30, 105, 125, 130, 145, 170, 185, 205, 225, 240, 260, 265, 285, 290, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.00000000,0.35513333,9->4
3,3,8,5,2,"(4, 16, 18)",13,2444,probe_repair,"[30, 60, 120, 130, 145, 155, 165, 190, 225, 235, 245, 310, 315, 330, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.19300000,0.44486667,11->18
3,3,8,5,2,"(4, 16, 18)",14,3871,probe_repair,"[35, 60, 95, 120, 125, 160, 190, 195, 200, 205, 210, 225, 305, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18100000,0.43800000,17->16
3,3,8,5,2,"(4, 16, 18)",15,3581,probe_repair,"[35, 45, 80, 95, 150, 185, 190, 215, 230, 250, 280, 315, 340, 345, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.18900000,0.44502222,21->4
