k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
3,3,8,5,1,"(7, 18, 21)",1,25,baseline_weak_discovery,"[10, 30, 35, 45, 55, 90, 105, 135, 250, 255, 265, 310, 335, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.33600000,0.44906667,4->18
3,3,8,5,1,"(7, 18, 21)",2,20,baseline_weak_discovery,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.31500000,0.44484444,26->21
3,3,8,5,1,"(7, 18, 21)",3,606,weak_route_targeted,"[5, 30, 35, 45, 60, 125, 130, 150, 165, 205, 210, 290, 300, 310, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.31500000,0.42960000,17->7
3,3,8,5,1,"(7, 18, 21)",4,281,weak_route_targeted,"[20, 25, 30, 35, 55, 90, 155, 170, 180, 265, 275, 290, 295, 325, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.30200000,0.43915556,11->18
3,3,8,5,1,"(7, 18, 21)",5,600,weak_route_targeted,"[5, 30, 35, 45, 60, 125, 130, 150, 165, 205, 210, 290, 300, 310, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29900000,0.43066667,22->7
3,3,8,5,1,"(7, 18, 21)",6,604,weak_route_targeted,"[5, 30, 35, 45, 60, 125, 130, 150, 165, 205, 210, 290, 300, 310, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29800000,0.42773333,17->7
3,3,8,5,1,"(7, 18, 21)",7,640,weak_route_targeted,"[40, 55, 65, 80, 90, 185, 190, 195, 205, 245, 270, 275, 285, 300, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29700000,0.44235556,16->18
3,3,8,5,1,"(7, 18, 21)",8,354,weak_route_targeted,"[40, 65, 125, 135, 140, 155, 160, 180, 185, 235, 250, 270, 275, 285, 295]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29200000,0.43520000,27->21
3,3,8,5,1,"(7, 18, 21)",9,27,baseline_weak_discovery,"[10, 30, 35, 45, 55, 90, 105, 135, 250, 255, 265, 310, 335, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29100000,0.45237778,4->18
3,3,8,5,1,"(7, 18, 21)",10,274,weak_route_targeted,"[20, 25, 30, 35, 55, 90, 155, 170, 180, 265, 275, 290, 295, 325, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.29100000,0.44264444,25->7
3,3,8,5,1,"(7, 18, 21)",11,282,weak_route_targeted,"[20, 25, 30, 35, 55, 90, 155, 170, 180, 265, 275, 290, 295, 325, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28700000,0.43073333,25->7
3,3,8,5,1,"(7, 18, 21)",12,26,baseline_weak_discovery,"[10, 30, 35, 45, 55, 90, 105, 135, 250, 255, 265, 310, 335, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28600000,0.44866667,4->18
3,3,8,5,1,"(7, 18, 21)",13,569,weak_route_targeted,"[5, 65, 85, 115, 120, 125, 205, 210, 230, 240, 275, 280, 335, 340, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28500000,0.43957778,6->21
3,3,8,5,1,"(7, 18, 21)",14,276,weak_route_targeted,"[20, 25, 30, 35, 55, 90, 155, 170, 180, 265, 275, 290, 295, 325, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28400000,0.43322222,17->18
3,3,8,5,1,"(7, 18, 21)",15,232,weak_route_targeted,"[30, 35, 100, 105, 110, 195, 250, 260, 265, 280, 285, 295, 305, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28300000,0.44933333,4->7
3,3,8,5,1,"(7, 18, 21)",16,152,baseline_weak_discovery,"[30, 40, 65, 80, 105, 125, 130, 145, 205, 215, 270, 310, 325, 345, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28200000,0.43022222,15->21
3,3,8,5,1,"(7, 18, 21)",17,279,weak_route_targeted,"[20, 25, 30, 35, 55, 90, 155, 170, 180, 265, 275, 290, 295, 325, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.28000000,0.43064444,11->18
3,3,8,5,1,"(7, 18, 21)",18,602,weak_route_targeted,"[5, 30, 35, 45, 60, 125, 130, 150, 165, 205, 210, 290, 300, 310, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.27900000,0.43215556,15->18
3,3,8,5,1,"(7, 18, 21)",19,226,weak_route_targeted,"[30, 35, 100, 105, 110, 195, 250, 260, 265, 280, 285, 295, 305, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.27700000,0.44422222,4->7
3,3,8,5,1,"(7, 18, 21)",20,5,baseline_weak_discovery,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.27400000,0.43704444,4->21
3,3,8,5,2,"(6, 9, 24)",1,137,baseline_weak_discovery,"[5, 45, 70, 80, 135, 195, 215, 225, 240, 295, 310, 320, 330, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.33800000,0.44520000,22->9
3,3,8,5,2,"(6, 9, 24)",2,832,weak_route_targeted,"[25, 35, 80, 90, 95, 115, 130, 140, 180, 205, 225, 240, 245, 260, 275]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.32700000,0.44486667,7->6
3,3,8,5,2,"(6, 9, 24)",3,824,weak_route_targeted,"[25, 35, 80, 90, 95, 115, 130, 140, 180, 205, 225, 240, 245, 260, 275]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.32500000,0.43842222,28->6
3,3,8,5,2,"(6, 9, 24)",4,136,baseline_weak_discovery,"[5, 45, 70, 80, 135, 195, 215, 225, 240, 295, 310, 320, 330, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.32500000,0.43684444,22->9
3,3,8,5,2,"(6, 9, 24)",5,300,weak_route_targeted,"[15, 35, 60, 65, 70, 95, 120, 165, 170, 230, 280, 295, 345, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.32400000,0.43575556,18->9
3,3,8,5,2,"(6, 9, 24)",6,830,weak_route_targeted,"[25, 35, 80, 90, 95, 115, 130, 140, 180, 205, 225, 240, 245, 260, 275]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.32200000,0.43897778,25->24
3,3,8,5,2,"(6, 9, 24)",7,138,baseline_weak_discovery,"[5, 45, 70, 80, 135, 195, 215, 225, 240, 295, 310, 320, 330, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.31500000,0.44213333,21->6
3,3,8,5,2,"(6, 9, 24)",8,140,baseline_weak_discovery,"[5, 45, 70, 80, 135, 195, 215, 225, 240, 295, 310, 320, 330, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.31200000,0.43713333,26->24
3,3,8,5,2,"(6, 9, 24)",9,819,weak_route_targeted,"[25, 35, 80, 90, 95, 115, 130, 140, 180, 205, 225, 240, 245, 260, 275]",0.00000000,"[0.00000000, 0.00000000, 0.00000000]",0.30800000,0.42640000,25->6
