k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
4,4,8,4,1,"(4, 9, 25, 27)",1,271,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.35700000,0.45585714,2->25
4,4,8,4,1,"(4, 9, 25, 27)",2,267,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.35100000,0.46160714,2->25
4,4,8,4,1,"(4, 9, 25, 27)",3,259,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.34700000,0.46007143,2->25
4,4,8,4,1,"(4, 9, 25, 27)",4,272,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.34400000,0.45839286,2->25
4,4,8,4,1,"(4, 9, 25, 27)",5,258,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.34200000,0.45914286,2->25
4,4,8,4,1,"(4, 9, 25, 27)",6,260,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.33600000,0.45825000,15->25
4,4,8,4,1,"(4, 9, 25, 27)",7,559,anchor_worst_targeted,"[40, 80, 95, 110, 145, 165, 190, 195, 255, 260, 275, 310, 320, 340, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.16300000,0.45239286,21->4
4,4,8,4,1,"(4, 9, 25, 27)",8,751,anchor_worst_targeted,"[5, 55, 105, 115, 120, 135, 170, 220, 245, 250, 255, 285, 305, 310, 330]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.24200000,0.44260714,20->27
4,4,8,4,1,"(4, 9, 25, 27)",9,739,anchor_worst_targeted,"[5, 55, 105, 115, 120, 135, 170, 220, 245, 250, 255, 285, 305, 310, 330]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25900000,0.44582143,20->27
4,4,8,4,1,"(4, 9, 25, 27)",10,100,baseline_global_guarded,"[40, 65, 70, 90, 95, 100, 115, 135, 140, 170, 175, 230, 250, 255, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21200000,0.44728571,2->9
4,4,8,4,1,"(4, 9, 25, 27)",11,99,baseline_global_guarded,"[40, 65, 70, 90, 95, 100, 115, 135, 140, 170, 175, 230, 250, 255, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.17800000,0.45275000,2->9
4,4,8,4,1,"(4, 9, 25, 27)",12,171,baseline_global_guarded,"[15, 40, 90, 135, 140, 160, 170, 180, 205, 210, 215, 240, 280, 310, 335]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30500000,0.45167857,24->9
4,4,8,4,1,"(4, 9, 25, 27)",13,818,anchor_worst_targeted,"[5, 20, 45, 70, 110, 150, 160, 215, 225, 240, 280, 285, 310, 330, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25500000,0.43850000,15->9
4,4,8,4,1,"(4, 9, 25, 27)",14,464,anchor_worst_targeted,"[5, 15, 40, 80, 85, 115, 125, 155, 210, 220, 235, 240, 300, 350, 355]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21400000,0.43535714,2->9
4,4,8,4,1,"(4, 9, 25, 27)",15,768,anchor_worst_targeted,"[5, 10, 30, 60, 115, 160, 170, 190, 200, 240, 245, 260, 280, 335, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.23400000,0.43307143,11->9
4,4,8,4,1,"(4, 9, 25, 27)",16,95,baseline_global_guarded,"[40, 65, 70, 90, 95, 100, 115, 135, 140, 170, 175, 230, 250, 255, 270]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25500000,0.44925000,17->25
4,4,8,4,1,"(4, 9, 25, 27)",17,270,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.33000000,0.46117857,26->25
4,4,8,4,1,"(4, 9, 25, 27)",18,268,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29900000,0.46035714,2->25
4,4,8,4,1,"(4, 9, 25, 27)",19,261,anchor_worst_targeted,"[30, 50, 90, 105, 115, 140, 150, 155, 205, 240, 250, 315, 350, 355, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.28600000,0.46028571,2->25
4,4,8,4,1,"(4, 9, 25, 27)",20,900,anchor_worst_targeted,"[5, 20, 40, 65, 120, 135, 145, 255, 280, 290, 295, 325, 330, 340, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19800000,0.45857143,22->4
4,4,8,4,2,"(6, 7, 15, 16)",1,70,baseline_global_guarded,"[5, 10, 35, 130, 145, 165, 185, 190, 195, 305, 310, 335, 345, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.30000000,0.44753571,2->6
4,4,8,4,2,"(6, 7, 15, 16)",2,441,anchor_worst_targeted,"[15, 20, 55, 75, 85, 90, 100, 115, 220, 240, 255, 265, 285, 345, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29700000,0.44196429,2->16
4,4,8,4,2,"(6, 7, 15, 16)",3,100,baseline_global_guarded,"[15, 30, 40, 50, 90, 95, 160, 180, 185, 195, 210, 245, 270, 300, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29400000,0.44767857,22->7
4,4,8,4,2,"(6, 7, 15, 16)",4,482,anchor_worst_targeted,"[35, 105, 125, 140, 145, 155, 170, 190, 220, 240, 260, 265, 345, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29100000,0.44960714,22->16
4,4,8,4,2,"(6, 7, 15, 16)",5,435,anchor_worst_targeted,"[15, 20, 55, 75, 85, 90, 100, 115, 220, 240, 255, 265, 285, 345, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29100000,0.44585714,27->15
4,4,8,4,2,"(6, 7, 15, 16)",6,958,anchor_worst_targeted,"[10, 50, 105, 120, 150, 165, 185, 220, 250, 295, 310, 315, 350, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.28900000,0.44050000,26->6
4,4,8,4,2,"(6, 7, 15, 16)",7,923,anchor_worst_targeted,"[100, 110, 125, 130, 155, 180, 200, 215, 255, 290, 295, 315, 340, 345, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21900000,0.44260714,18->6
4,4,8,4,2,"(6, 7, 15, 16)",8,166,baseline_global_guarded,"[5, 10, 25, 50, 60, 110, 130, 165, 200, 245, 260, 285, 320, 355, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19300000,0.45535714,18->15
4,4,8,4,2,"(6, 7, 15, 16)",9,649,anchor_worst_targeted,"[40, 50, 75, 120, 125, 130, 215, 220, 250, 265, 280, 290, 335, 340, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.15300000,0.44721429,24->6
4,4,8,4,2,"(6, 7, 15, 16)",10,926,anchor_worst_targeted,"[100, 110, 125, 130, 155, 180, 200, 215, 255, 290, 295, 315, 340, 345, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.22300000,0.44257143,18->6
4,4,8,4,2,"(6, 7, 15, 16)",11,655,anchor_worst_targeted,"[40, 50, 75, 120, 125, 130, 215, 220, 250, 265, 280, 290, 335, 340, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.10100000,0.44603571,24->6
4,4,8,4,2,"(6, 7, 15, 16)",12,312,anchor_worst_targeted,"[5, 10, 30, 70, 75, 105, 110, 250, 270, 275, 290, 325, 350, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.22500000,0.45110714,21->16
4,4,8,4,2,"(6, 7, 15, 16)",13,249,anchor_worst_targeted,"[20, 140, 160, 175, 185, 200, 225, 230, 250, 255, 265, 270, 280, 345, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.18400000,0.42771429,20->7
4,4,8,4,2,"(6, 7, 15, 16)",14,483,anchor_worst_targeted,"[35, 105, 125, 140, 145, 155, 170, 190, 220, 240, 260, 265, 345, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.26800000,0.44375000,22->16
4,4,8,4,2,"(6, 7, 15, 16)",15,126,baseline_global_guarded,"[10, 25, 45, 50, 125, 145, 155, 210, 235, 245, 295, 300, 310, 350, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25700000,0.44532143,28->15
4,4,8,4,2,"(6, 7, 15, 16)",16,414,anchor_worst_targeted,"[5, 10, 35, 45, 115, 160, 165, 175, 180, 295, 310, 315, 325, 340, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.23600000,0.44278571,18->7
4,4,8,4,2,"(6, 7, 15, 16)",17,74,baseline_global_guarded,"[5, 10, 35, 130, 145, 165, 185, 190, 195, 305, 310, 335, 345, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25300000,0.45471429,9->7
