k,real_k,effective_k,virtual_stream_count,target_effective_k,sample_index,position_combination,selected_candidate_count,common_route_count,excluded_illegal_positions,authorized_max_ber,authorized_position_bers,security_min_route_min_ber,security_avg_route_min_ber,worst_route,optimizer,usage_ratio,usage_counts,selected_candidate_ids,selected_probe_sets
4,4,8,4,8,1,"(4, 9, 25, 27)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.27800000,0.44300000,26->9,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]","[321, 332, 25, 196, 324, 177, 320, 199, 22, 201]","[10, 70, 95, 155, 190, 200, 215, 295, 325, 330, 335, 340, 345, 360, 365] | [25, 35, 50, 55, 75, 85, 110, 130, 205, 225, 230, 240, 260, 285, 335] | [5, 10, 15, 50, 55, 115, 145, 185, 205, 225, 255, 270, 315, 325, 355] | [20, 90, 125, 135, 140, 145, 185, 195, 200, 235, 245, 305, 320, 345, 355] | [10, 70, 95, 155, 190, 200, 215, 295, 325, 330, 335, 340, 345, 360, 365] | [25, 45, 60, 110, 140, 150, 155, 175, 180, 210, 235, 260, 295, 325, 340] | [10, 70, 95, 155, 190, 200, 215, 295, 325, 330, 335, 340, 345, 360, 365] | [5, 40, 135, 140, 145, 155, 170, 185, 195, 260, 285, 290, 325, 330, 340] | [5, 10, 15, 50, 55, 115, 145, 185, 205, 225, 255, 270, 315, 325, 355] | [5, 40, 135, 140, 145, 155, 170, 185, 195, 260, 285, 290, 325, 330, 340]"
4,4,8,4,8,2,"(6, 7, 15, 16)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29300000,0.45342857,18->7,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000]","[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]","[282, 135, 306, 307, 281, 211, 110, 39, 283, 43]","[30, 35, 75, 110, 120, 125, 145, 150, 180, 190, 235, 240, 250, 260, 290] | [5, 20, 40, 45, 110, 150, 180, 230, 250, 260, 265, 275, 280, 305, 335] | [15, 30, 50, 75, 105, 110, 125, 165, 195, 230, 265, 305, 330, 340, 345] | [15, 30, 50, 75, 105, 110, 125, 165, 195, 230, 265, 305, 330, 340, 345] | [30, 35, 75, 110, 120, 125, 145, 150, 180, 190, 235, 240, 250, 260, 290] | [35, 45, 60, 85, 130, 145, 200, 245, 250, 280, 285, 295, 315, 355, 360] | [20, 50, 90, 105, 115, 135, 210, 230, 235, 245, 290, 295, 310, 325, 365] | [15, 30, 40, 65, 100, 105, 150, 160, 170, 195, 210, 250, 260, 300, 305] | [30, 35, 75, 110, 120, 125, 145, 150, 180, 190, 235, 240, 250, 260, 290] | [15, 30, 40, 65, 100, 105, 150, 160, 170, 195, 210, 250, 260, 300, 305]"
4,4,8,4,8,3,"(5, 11, 21, 22)",10,60,[1],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.29300000,0.43941667,16->22,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]","[48, 121, 44, 38, 122, 120, 119, 24, 43, 28]","[30, 40, 50, 105, 115, 120, 135, 140, 180, 230, 255, 285, 310, 315, 365] | [5, 20, 25, 110, 135, 140, 155, 160, 170, 180, 185, 200, 300, 310, 355] | [5, 15, 30, 55, 105, 110, 170, 225, 230, 235, 245, 255, 275, 355, 360] | [5, 15, 30, 55, 105, 110, 170, 225, 230, 235, 245, 255, 275, 355, 360] | [5, 20, 25, 110, 135, 140, 155, 160, 170, 180, 185, 200, 300, 310, 355] | [5, 20, 25, 110, 135, 140, 155, 160, 170, 180, 185, 200, 300, 310, 355] | [5, 20, 25, 110, 135, 140, 155, 160, 170, 180, 185, 200, 300, 310, 355] | [5, 65, 85, 140, 150, 155, 170, 180, 205, 260, 270, 285, 310, 330, 365] | [5, 15, 30, 55, 105, 110, 170, 225, 230, 235, 245, 255, 275, 355, 360] | [5, 65, 85, 140, 150, 155, 170, 180, 205, 260, 270, 285, 310, 330, 365]"
4,4,8,4,8,4,"(6, 15, 20, 25)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.27600000,0.44917857,17->25,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]","[12, 282, 72, 161, 159, 110, 320, 44, 158, 284]","[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [10, 30, 75, 90, 95, 130, 160, 230, 245, 255, 270, 300, 330, 345, 365] | [10, 15, 35, 45, 65, 110, 160, 170, 210, 240, 270, 310, 325, 330, 335] | [55, 80, 115, 155, 165, 175, 185, 190, 245, 270, 290, 315, 320, 335, 345] | [55, 80, 115, 155, 165, 175, 185, 190, 245, 270, 290, 315, 320, 335, 345] | [5, 10, 50, 55, 65, 120, 180, 200, 285, 305, 310, 325, 340, 345, 365] | [5, 55, 60, 75, 105, 130, 150, 185, 225, 255, 260, 270, 290, 300, 360] | [40, 50, 75, 85, 100, 115, 135, 140, 160, 205, 230, 235, 270, 275, 335] | [55, 80, 115, 155, 165, 175, 185, 190, 245, 270, 290, 315, 320, 335, 345] | [10, 30, 75, 90, 95, 130, 160, 230, 245, 255, 270, 300, 330, 345, 365]"
4,4,8,4,8,5,"(5, 6, 18, 24)",10,60,[1],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25600000,0.45235000,26->18,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 0, 0, 0, 0, 1000, 0, 0]","[73, 70, 138, 116, 74, 140, 113, 75, 71, 76]","[25, 45, 65, 125, 140, 155, 175, 245, 250, 255, 265, 300, 330, 340, 355] | [25, 45, 65, 125, 140, 155, 175, 245, 250, 255, 265, 300, 330, 340, 355] | [5, 15, 25, 30, 35, 90, 100, 110, 125, 180, 185, 210, 225, 230, 285] | [10, 35, 45, 85, 100, 120, 125, 170, 225, 230, 295, 310, 330, 345, 355] | [25, 45, 65, 125, 140, 155, 175, 245, 250, 255, 265, 300, 330, 340, 355] | [5, 15, 25, 30, 35, 90, 100, 110, 125, 180, 185, 210, 225, 230, 285] | [10, 35, 45, 85, 100, 120, 125, 170, 225, 230, 295, 310, 330, 345, 355] | [25, 45, 65, 125, 140, 155, 175, 245, 250, 255, 265, 300, 330, 340, 355] | [25, 45, 65, 125, 140, 155, 175, 245, 250, 255, 265, 300, 330, 340, 355] | [25, 45, 65, 125, 140, 155, 175, 245, 250, 255, 265, 300, 330, 340, 355]"
4,4,8,4,8,6,"(2, 9, 15, 24)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.24700000,0.44910714,17->2,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 1000, 0, 0, 0, 0, 0, 0]","[279, 282, 118, 119, 19, 283, 120, 123, 203, 17]","[35, 45, 70, 105, 115, 150, 175, 185, 220, 230, 270, 275, 285, 340, 360] | [35, 45, 70, 105, 115, 150, 175, 185, 220, 230, 270, 275, 285, 340, 360] | [175, 180, 195, 210, 215, 225, 230, 250, 290, 295, 305, 320, 330, 335, 345] | [175, 180, 195, 210, 215, 225, 230, 250, 290, 295, 305, 320, 330, 335, 345] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [35, 45, 70, 105, 115, 150, 175, 185, 220, 230, 270, 275, 285, 340, 360] | [175, 180, 195, 210, 215, 225, 230, 250, 290, 295, 305, 320, 330, 335, 345] | [175, 180, 195, 210, 215, 225, 230, 250, 290, 295, 305, 320, 330, 335, 345] | [5, 25, 125, 140, 170, 175, 180, 185, 200, 220, 255, 275, 300, 320, 330] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]"
4,4,8,4,8,7,"(9, 18, 22, 27)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21800000,0.44967857,4->22,best_single_fallback,"[0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 1000, 0, 0, 0, 0, 0, 0, 0, 0]","[231, 186, 72, 235, 71, 215, 115, 213, 206, 218]","[30, 35, 65, 100, 115, 125, 180, 185, 220, 240, 260, 265, 310, 335, 340] | [5, 15, 45, 105, 135, 155, 180, 230, 250, 265, 275, 290, 320, 325, 355] | [5, 65, 90, 110, 135, 190, 220, 250, 270, 285, 290, 310, 315, 325, 365] | [30, 35, 65, 100, 115, 125, 180, 185, 220, 240, 260, 265, 310, 335, 340] | [5, 65, 90, 110, 135, 190, 220, 250, 270, 285, 290, 310, 315, 325, 365] | [10, 20, 65, 105, 115, 140, 150, 165, 200, 205, 210, 230, 260, 305, 325] | [10, 45, 65, 90, 95, 155, 170, 185, 200, 235, 255, 275, 290, 300, 335] | [10, 20, 65, 105, 115, 140, 150, 165, 200, 205, 210, 230, 260, 305, 325] | [10, 50, 70, 80, 85, 125, 160, 180, 190, 220, 225, 280, 285, 305, 325] | [10, 20, 65, 105, 115, 140, 150, 165, 200, 205, 210, 230, 260, 305, 325]"
4,4,8,4,8,8,"(9, 17, 18, 25)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31700000,0.44446429,4->9,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 0, 0, 1000, 0, 0, 0, 0]","[182, 163, 162, 235, 232, 164, 303, 142, 161, 304]","[10, 35, 105, 110, 120, 125, 140, 185, 190, 245, 255, 270, 315, 340, 360] | [10, 25, 40, 45, 95, 130, 135, 160, 250, 255, 270, 305, 335, 340, 355] | [10, 25, 40, 45, 95, 130, 135, 160, 250, 255, 270, 305, 335, 340, 355] | [20, 30, 55, 85, 100, 130, 145, 150, 160, 225, 240, 280, 310, 315, 350] | [20, 30, 55, 85, 100, 130, 145, 150, 160, 225, 240, 280, 310, 315, 350] | [10, 25, 40, 45, 95, 130, 135, 160, 250, 255, 270, 305, 335, 340, 355] | [5, 20, 50, 100, 105, 110, 120, 165, 170, 185, 230, 235, 290, 295, 310] | [10, 60, 95, 110, 140, 145, 155, 220, 230, 260, 265, 315, 325, 335, 355] | [10, 25, 40, 45, 95, 130, 135, 160, 250, 255, 270, 305, 335, 340, 355] | [5, 20, 50, 100, 105, 110, 120, 165, 170, 185, 230, 235, 290, 295, 310]"
4,4,8,4,8,9,"(6, 9, 25, 27)",10,56,"[1, 5]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.32100000,0.44257143,11->6,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 0, 0, 0, 1000, 0, 0, 0]","[127, 129, 289, 288, 291, 242, 38, 314, 27, 290]","[30, 110, 115, 130, 145, 150, 175, 190, 225, 235, 245, 255, 265, 270, 345] | [30, 110, 115, 130, 145, 150, 175, 190, 225, 235, 245, 255, 265, 270, 345] | [50, 60, 65, 105, 125, 135, 145, 165, 205, 220, 250, 320, 325, 340, 355] | [50, 60, 65, 105, 125, 135, 145, 165, 205, 220, 250, 320, 325, 340, 355] | [50, 60, 65, 105, 125, 135, 145, 165, 205, 220, 250, 320, 325, 340, 355] | [5, 35, 115, 125, 155, 160, 190, 210, 245, 260, 300, 315, 320, 335, 365] | [15, 35, 40, 85, 90, 145, 185, 220, 225, 245, 265, 270, 295, 305, 360] | [15, 45, 95, 110, 145, 205, 230, 240, 245, 265, 285, 290, 310, 345, 350] | [20, 60, 135, 140, 165, 200, 205, 210, 215, 235, 260, 265, 285, 290, 300] | [50, 60, 65, 105, 125, 135, 145, 165, 205, 220, 250, 320, 325, 340, 355]"
4,4,8,4,8,10,"(1, 9, 25, 26)",10,60,[5],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19900000,0.44213333,16->25,best_single_fallback,"[0.00000000, 0.00000000, 0.00000000, 1.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 0, 0, 1000, 0, 0, 0, 0, 0, 0]","[112, 154, 100, 151, 150, 113, 156, 153, 162, 95]","[50, 75, 90, 105, 170, 175, 185, 190, 200, 205, 220, 225, 285, 295, 320] | [25, 35, 50, 55, 125, 185, 190, 195, 205, 255, 280, 300, 305, 355, 360] | [25, 40, 90, 95, 100, 130, 140, 145, 155, 180, 225, 260, 275, 290, 360] | [25, 35, 50, 55, 125, 185, 190, 195, 205, 255, 280, 300, 305, 355, 360] | [25, 35, 50, 55, 125, 185, 190, 195, 205, 255, 280, 300, 305, 355, 360] | [50, 75, 90, 105, 170, 175, 185, 190, 200, 205, 220, 225, 285, 295, 320] | [25, 35, 50, 55, 125, 185, 190, 195, 205, 255, 280, 300, 305, 355, 360] | [25, 35, 50, 55, 125, 185, 190, 195, 205, 255, 280, 300, 305, 355, 360] | [10, 15, 25, 75, 90, 100, 125, 130, 150, 250, 260, 285, 335, 345, 365] | [25, 40, 90, 95, 100, 130, 140, 145, 155, 180, 225, 260, 275, 290, 360]"
