k,real_k,effective_k,virtual_stream_count,sample_index,position_combination,selection_rank,candidate_id,source,probes,authorized_max_ber,authorized_position_bers,candidate_min_route_min_ber,candidate_avg_route_min_ber,worst_route
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",1,70,probe_repair,"[15, 30, 50, 105, 110, 120, 125, 135, 195, 280, 310, 325, 330, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19600000,0.45738462,15->1
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",2,26,probe_repair,"[10, 15, 30, 85, 120, 125, 155, 165, 170, 175, 265, 275, 280, 285, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.13100000,0.45438462,18->17
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",3,129,probe_repair,"[10, 50, 95, 130, 145, 195, 200, 210, 235, 250, 255, 285, 300, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.20000000,0.44912821,7->16
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",4,22,probe_repair,"[10, 15, 30, 85, 120, 125, 155, 165, 170, 175, 265, 275, 280, 285, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.10800000,0.44787179,18->17
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",5,42,probe_repair,"[10, 25, 30, 60, 70, 90, 110, 140, 200, 250, 255, 260, 290, 295, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.22900000,0.45500000,21->22
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",6,118,probe_repair,"[5, 15, 45, 65, 80, 90, 115, 120, 125, 135, 250, 295, 300, 320, 325]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.21000000,0.44984615,2->1
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",7,44,probe_repair,"[10, 25, 30, 60, 70, 90, 110, 140, 200, 250, 255, 260, 290, 295, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.27400000,0.45410256,15->1
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",8,38,probe_repair,"[10, 25, 30, 60, 70, 90, 110, 140, 200, 250, 255, 260, 290, 295, 305]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.31100000,0.45241026,15->1
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",9,71,probe_repair,"[15, 30, 50, 105, 110, 120, 125, 135, 195, 280, 310, 325, 330, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.24600000,0.45779487,15->1
6,6,8,2,1,"(1, 16, 17, 20, 22, 24)",10,66,probe_repair,"[45, 50, 55, 65, 100, 115, 150, 155, 170, 175, 180, 200, 220, 340, 350]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.19600000,0.44492308,18->16
6,6,8,2,2,"(4, 7, 11, 20, 21, 28)",1,59,probe_repair,"[75, 100, 105, 115, 150, 165, 170, 200, 230, 270, 295, 300, 320, 325, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.25200000,0.45252778,9->28
6,6,8,2,2,"(4, 7, 11, 20, 21, 28)",2,58,probe_repair,"[75, 100, 105, 115, 150, 165, 170, 200, 230, 270, 295, 300, 320, 325, 340]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.24500000,0.44872222,26->20
6,6,8,2,2,"(4, 7, 11, 20, 21, 28)",3,73,probe_repair,"[20, 50, 60, 70, 115, 145, 175, 180, 190, 200, 215, 245, 260, 325, 345]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.05600000,0.44044444,22->7
6,6,8,2,2,"(4, 7, 11, 20, 21, 28)",4,99,probe_repair,"[30, 65, 85, 130, 135, 170, 180, 190, 205, 225, 240, 290, 315, 360, 365]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.14400000,0.44425000,25->11
6,6,8,2,2,"(4, 7, 11, 20, 21, 28)",5,121,probe_repair,"[20, 75, 115, 140, 155, 175, 195, 205, 215, 225, 255, 310, 320, 355, 360]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.02700000,0.44438889,24->11
