k,position_combination,selection_rank,candidate_id,source,probes,common_route_count,excluded_illegal_positions,candidate_min_route_min_ber,candidate_average_route_min_ber,worst_route,route_min_bers
2,"(4, 11)",1,58,probe_repair,"[15, 65, 75, 95, 100, 115, 165, 175, 225, 230, 255, 290, 310, 315, 350]",32,"[1, 5]",0.00000000,0.31681250,2->11,"{'2->4': '0.48200000', '2->11': '0.00000000', '6->4': '0.48200000', '6->11': '0.00000000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.46700000', '9->11': '0.49300000', '15->4': '0.00000000', '15->11': '0.48200000', '16->4': '0.00000000', '16->11': '0.48200000', '17->4': '0.48200000', '17->11': '0.00000000', '18->4': '0.24600000', '18->11': '0.27200000', '20->4': '0.00000000', '20->11': '0.48200000', '21->4': '0.46700000', '21->11': '0.49300000', '22->4': '0.46700000', '22->11': '0.49300000', '24->4': '0.00000000', '24->11': '0.48200000', '25->4': '0.46700000', '25->11': '0.49300000', '26->4': '0.46700000', '26->11': '0.49300000', '27->4': '0.26100000', '27->11': '0.22100000', '28->4': '0.00000000', '28->11': '0.48200000'}"
2,"(4, 11)",2,319,probe_repair,"[35, 40, 125, 130, 135, 145, 155, 175, 210, 240, 245, 250, 285, 300, 340]",32,"[1, 5]",0.00000000,0.30187500,6->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.48200000', '6->11': '0.00000000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.26100000', '15->11': '0.22100000', '16->4': '0.48200000', '16->11': '0.00000000', '17->4': '0.46700000', '17->11': '0.49300000', '18->4': '0.46700000', '18->11': '0.49300000', '20->4': '0.48200000', '20->11': '0.00000000', '21->4': '0.00000000', '21->11': '0.48200000', '22->4': '0.48200000', '22->11': '0.00000000', '24->4': '0.00000000', '24->11': '0.48200000', '25->4': '0.48200000', '25->11': '0.00000000', '26->4': '0.46700000', '26->11': '0.49300000', '27->4': '0.27200000', '27->11': '0.24600000', '28->4': '0.00000000', '28->11': '0.48200000'}"
2,"(4, 11)",3,254,probe_repair,"[90, 105, 115, 150, 155, 175, 180, 225, 245, 250, 265, 285, 290, 295, 350]",32,"[1, 5]",0.00000000,0.30075000,6->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.48200000', '6->11': '0.00000000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.48200000', '15->11': '0.00000000', '16->4': '0.48200000', '16->11': '0.00000000', '17->4': '0.46700000', '17->11': '0.49300000', '18->4': '0.00000000', '18->11': '0.48200000', '20->4': '0.46700000', '20->11': '0.49300000', '21->4': '0.00000000', '21->11': '0.48200000', '22->4': '0.48200000', '22->11': '0.00000000', '24->4': '0.48200000', '24->11': '0.00000000', '25->4': '0.48200000', '25->11': '0.00000000', '26->4': '0.46700000', '26->11': '0.49300000', '27->4': '0.48200000', '27->11': '0.00000000', '28->4': '0.48200000', '28->11': '0.00000000'}"
2,"(4, 11)",4,213,probe_repair,"[50, 70, 105, 115, 140, 165, 205, 210, 250, 265, 300, 315, 320, 350, 355]",32,"[1, 5]",0.00000000,0.34668750,6->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.48200000', '6->11': '0.00000000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.46700000', '9->11': '0.49300000', '15->4': '0.46700000', '15->11': '0.49300000', '16->4': '0.48200000', '16->11': '0.00000000', '17->4': '0.48200000', '17->11': '0.00000000', '18->4': '0.46700000', '18->11': '0.49300000', '20->4': '0.46700000', '20->11': '0.49300000', '21->4': '0.00000000', '21->11': '0.48200000', '22->4': '0.24600000', '22->11': '0.27200000', '24->4': '0.46700000', '24->11': '0.49300000', '25->4': '0.48200000', '25->11': '0.00000000', '26->4': '0.46700000', '26->11': '0.49300000', '27->4': '0.00000000', '27->11': '0.48200000', '28->4': '0.22100000', '28->11': '0.26100000'}"
2,"(4, 11)",5,37,probe_repair,"[85, 115, 130, 150, 165, 175, 185, 190, 200, 225, 245, 250, 330, 335, 340]",32,"[1, 5]",0.00000000,0.33062500,7->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.46700000', '6->11': '0.49300000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.46700000', '15->11': '0.49300000', '16->4': '0.00000000', '16->11': '0.48200000', '17->4': '0.46700000', '17->11': '0.49300000', '18->4': '0.46700000', '18->11': '0.49300000', '20->4': '0.00000000', '20->11': '0.48200000', '21->4': '0.00000000', '21->11': '0.48200000', '22->4': '0.48200000', '22->11': '0.00000000', '24->4': '0.00000000', '24->11': '0.48200000', '25->4': '0.46700000', '25->11': '0.49300000', '26->4': '0.00000000', '26->11': '0.48200000', '27->4': '0.00000000', '27->11': '0.48200000', '28->4': '0.48200000', '28->11': '0.00000000'}"
2,"(4, 11)",6,157,probe_repair,"[25, 40, 45, 85, 145, 160, 195, 200, 205, 235, 245, 260, 280, 300, 345]",32,"[1, 5]",0.00000000,0.33062500,6->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.48200000', '6->11': '0.00000000', '7->4': '0.46700000', '7->11': '0.49300000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.48200000', '15->11': '0.00000000', '16->4': '0.48200000', '16->11': '0.00000000', '17->4': '0.46700000', '17->11': '0.49300000', '18->4': '0.46700000', '18->11': '0.49300000', '20->4': '0.22100000', '20->11': '0.26100000', '21->4': '0.00000000', '21->11': '0.48200000', '22->4': '0.46700000', '22->11': '0.49300000', '24->4': '0.00000000', '24->11': '0.48200000', '25->4': '0.00000000', '25->11': '0.48200000', '26->4': '0.48200000', '26->11': '0.00000000', '27->4': '0.46700000', '27->11': '0.49300000', '28->4': '0.00000000', '28->11': '0.48200000'}"
2,"(4, 11)",7,40,probe_repair,"[85, 115, 130, 150, 165, 175, 185, 190, 200, 225, 245, 250, 330, 335, 340]",32,"[1, 5]",0.00000000,0.32018750,7->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.46700000', '6->11': '0.49300000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.46700000', '9->11': '0.49300000', '15->4': '0.24600000', '15->11': '0.27200000', '16->4': '0.00000000', '16->11': '0.48200000', '17->4': '0.46700000', '17->11': '0.49300000', '18->4': '0.00000000', '18->11': '0.48200000', '20->4': '0.24600000', '20->11': '0.27200000', '21->4': '0.26100000', '21->11': '0.22100000', '22->4': '0.24600000', '22->11': '0.27200000', '24->4': '0.24600000', '24->11': '0.27200000', '25->4': '0.46700000', '25->11': '0.49300000', '26->4': '0.00000000', '26->11': '0.48200000', '27->4': '0.00000000', '27->11': '0.48200000', '28->4': '0.22100000', '28->11': '0.26100000'}"
2,"(4, 11)",8,39,probe_repair,"[85, 115, 130, 150, 165, 175, 185, 190, 200, 225, 245, 250, 330, 335, 340]",32,"[1, 5]",0.00000000,0.31793750,7->11,"{'2->4': '0.46700000', '2->11': '0.49300000', '6->4': '0.46700000', '6->11': '0.49300000', '7->4': '0.48200000', '7->11': '0.00000000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.46700000', '15->11': '0.49300000', '16->4': '0.24600000', '16->11': '0.27200000', '17->4': '0.46700000', '17->11': '0.49300000', '18->4': '0.00000000', '18->11': '0.48200000', '20->4': '0.46700000', '20->11': '0.49300000', '21->4': '0.48200000', '21->11': '0.00000000', '22->4': '0.48200000', '22->11': '0.00000000', '24->4': '0.00000000', '24->11': '0.48200000', '25->4': '0.48200000', '25->11': '0.00000000', '26->4': '0.27200000', '26->11': '0.24600000', '27->4': '0.00000000', '27->11': '0.48200000', '28->4': '0.22100000', '28->11': '0.26100000'}"
2,"(4, 11)",9,4,baseline,"[5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",32,"[1, 5]",0.00000000,0.31681250,2->11,"{'2->4': '0.48200000', '2->11': '0.00000000', '6->4': '0.46700000', '6->11': '0.49300000', '7->4': '0.46700000', '7->11': '0.49300000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.48200000', '15->11': '0.00000000', '16->4': '0.48200000', '16->11': '0.00000000', '17->4': '0.48200000', '17->11': '0.00000000', '18->4': '0.48200000', '18->11': '0.00000000', '20->4': '0.46700000', '20->11': '0.49300000', '21->4': '0.46700000', '21->11': '0.49300000', '22->4': '0.00000000', '22->11': '0.48200000', '24->4': '0.00000000', '24->11': '0.48200000', '25->4': '0.00000000', '25->11': '0.48200000', '26->4': '0.00000000', '26->11': '0.48200000', '27->4': '0.24600000', '27->11': '0.27200000', '28->4': '0.46700000', '28->11': '0.49300000'}"
2,"(4, 11)",10,280,probe_repair,"[5, 20, 25, 30, 80, 110, 125, 145, 170, 210, 245, 255, 285, 320, 355]",32,"[1, 5]",0.00000000,0.30300000,2->11,"{'2->4': '0.48200000', '2->11': '0.00000000', '6->4': '0.48200000', '6->11': '0.00000000', '7->4': '0.46700000', '7->11': '0.49300000', '9->4': '0.48200000', '9->11': '0.00000000', '15->4': '0.46700000', '15->11': '0.49300000', '16->4': '0.26100000', '16->11': '0.22100000', '17->4': '0.48200000', '17->11': '0.00000000', '18->4': '0.00000000', '18->11': '0.48200000', '20->4': '0.27200000', '20->11': '0.24600000', '21->4': '0.24600000', '21->11': '0.27200000', '22->4': '0.46700000', '22->11': '0.49300000', '24->4': '0.46700000', '24->11': '0.49300000', '25->4': '0.00000000', '25->11': '0.48200000', '26->4': '0.00000000', '26->11': '0.48200000', '27->4': '0.48200000', '27->11': '0.00000000', '28->4': '0.48200000', '28->11': '0.00000000'}"
