position_combination,selection_rank,candidate_id,source,probes,candidate_min_route_min_ber,candidate_average_route_min_ber,worst_route,route_min_bers
"(2, 7, 15, 17, 18, 25, 26, 27)",1,68,probe_repair,"[10, 20, 40, 80, 85, 115, 135, 140, 220, 245, 285, 290, 300, 345, 365]",0.14000000,0.44907500,20->26,"{'4->2': '0.45900000', '4->7': '0.47300000', '4->15': '0.46500000', '4->17': '0.49000000', '4->18': '0.46300000', '4->25': '0.42100000', '4->26': '0.48600000', '4->27': '0.34800000', '6->2': '0.49500000', '6->7': '0.48300000', '6->15': '0.40300000', '6->17': '0.45400000', '6->18': '0.49500000', '6->25': '0.46500000', '6->26': '0.47400000', '6->27': '0.49200000', '9->2': '0.45300000', '9->7': '0.48500000', '9->15': '0.47300000', '9->17': '0.49200000', '9->18': '0.46900000', '9->25': '0.49500000', '9->26': '0.47200000', '9->27': '0.37400000', '11->2': '0.41700000', '11->7': '0.44900000', '11->15': '0.48500000', '11->17': '0.45000000', '11->18': '0.40500000', '11->25': '0.46700000', '11->26': '0.48600000', '11->27': '0.49600000', '16->2': '0.44400000', '16->7': '0.41200000', '16->15': '0.48200000', '16->17': '0.49900000', '16->18': '0.48800000', '16->25': '0.48600000', '16->26': '0.45500000', '16->27': '0.33500000', '20->2': '0.48100000', '20->7': '0.46700000', '20->15': '0.48700000', '20->17': '0.44800000', '20->18': '0.46700000', '20->25': '0.41300000', '20->26': '0.14000000', '20->27': '0.50000000', '21->2': '0.46400000', '21->7': '0.47000000', '21->15': '0.48000000', '21->17': '0.47500000', '21->18': '0.44800000', '21->25': '0.33600000', '21->26': '0.43900000', '21->27': '0.46100000', '22->2': '0.46900000', '22->7': '0.21700000', '22->15': '0.45900000', '22->17': '0.48600000', '22->18': '0.47500000', '22->25': '0.48500000', '22->26': '0.40800000', '22->27': '0.49800000', '24->2': '0.44800000', '24->7': '0.45600000', '24->15': '0.45800000', '24->17': '0.35300000', '24->18': '0.49200000', '24->25': '0.46400000', '24->26': '0.48900000', '24->27': '0.46500000', '28->2': '0.45400000', '28->7': '0.48200000', '28->15': '0.49600000', '28->17': '0.49300000', '28->18': '0.47800000', '28->25': '0.46600000', '28->26': '0.16300000', '28->27': '0.46100000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",2,54,probe_repair,"[30, 40, 65, 90, 125, 175, 195, 205, 210, 215, 265, 280, 285, 330, 355]",0.10200000,0.44790000,20->27,"{'4->2': '0.49100000', '4->7': '0.47500000', '4->15': '0.49500000', '4->17': '0.42000000', '4->18': '0.47300000', '4->25': '0.49300000', '4->26': '0.49200000', '4->27': '0.49000000', '6->2': '0.47400000', '6->7': '0.38800000', '6->15': '0.46600000', '6->17': '0.49300000', '6->18': '0.49200000', '6->25': '0.47200000', '6->26': '0.46300000', '6->27': '0.46100000', '9->2': '0.49200000', '9->7': '0.44400000', '9->15': '0.45800000', '9->17': '0.45900000', '9->18': '0.43800000', '9->25': '0.38600000', '9->26': '0.26100000', '9->27': '0.49300000', '11->2': '0.43900000', '11->7': '0.47300000', '11->15': '0.45700000', '11->17': '0.45000000', '11->18': '0.48900000', '11->25': '0.49500000', '11->26': '0.49800000', '11->27': '0.49800000', '16->2': '0.47600000', '16->7': '0.43400000', '16->15': '0.49600000', '16->17': '0.49900000', '16->18': '0.35600000', '16->25': '0.46800000', '16->26': '0.46500000', '16->27': '0.49900000', '20->2': '0.45500000', '20->7': '0.47300000', '20->15': '0.45900000', '20->17': '0.46600000', '20->18': '0.49300000', '20->25': '0.48700000', '20->26': '0.47200000', '20->27': '0.10200000', '21->2': '0.44300000', '21->7': '0.48900000', '21->15': '0.44500000', '21->17': '0.48400000', '21->18': '0.49100000', '21->25': '0.47700000', '21->26': '0.48000000', '21->27': '0.48200000', '22->2': '0.44600000', '22->7': '0.48600000', '22->15': '0.41400000', '22->17': '0.46700000', '22->18': '0.28400000', '22->25': '0.47200000', '22->26': '0.44300000', '22->27': '0.43100000', '24->2': '0.35800000', '24->7': '0.45000000', '24->15': '0.35800000', '24->17': '0.45500000', '24->18': '0.38200000', '24->25': '0.41800000', '24->26': '0.37700000', '24->27': '0.49100000', '28->2': '0.46400000', '28->7': '0.47000000', '28->15': '0.48200000', '28->17': '0.46900000', '28->18': '0.49800000', '28->25': '0.45000000', '28->26': '0.13300000', '28->27': '0.47500000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",3,51,probe_repair,"[30, 40, 65, 90, 125, 175, 195, 205, 210, 215, 265, 280, 285, 330, 355]",0.10900000,0.44062500,28->26,"{'4->2': '0.37400000', '4->7': '0.49600000', '4->15': '0.46200000', '4->17': '0.39300000', '4->18': '0.48000000', '4->25': '0.48200000', '4->26': '0.45500000', '4->27': '0.47100000', '6->2': '0.48500000', '6->7': '0.44300000', '6->15': '0.47900000', '6->17': '0.46600000', '6->18': '0.48700000', '6->25': '0.48700000', '6->26': '0.46800000', '6->27': '0.47600000', '9->2': '0.47200000', '9->7': '0.49000000', '9->15': '0.48400000', '9->17': '0.46500000', '9->18': '0.45400000', '9->25': '0.44000000', '9->26': '0.12100000', '9->27': '0.45900000', '11->2': '0.46800000', '11->7': '0.46200000', '11->15': '0.44600000', '11->17': '0.47700000', '11->18': '0.49800000', '11->25': '0.46000000', '11->26': '0.37700000', '11->27': '0.46900000', '16->2': '0.46600000', '16->7': '0.30600000', '16->15': '0.49600000', '16->17': '0.40900000', '16->18': '0.39200000', '16->25': '0.48000000', '16->26': '0.44100000', '16->27': '0.49900000', '20->2': '0.39200000', '20->7': '0.43000000', '20->15': '0.41400000', '20->17': '0.49500000', '20->18': '0.49000000', '20->25': '0.48200000', '20->26': '0.48100000', '20->27': '0.13900000', '21->2': '0.45200000', '21->7': '0.47600000', '21->15': '0.46600000', '21->17': '0.45700000', '21->18': '0.47800000', '21->25': '0.48200000', '21->26': '0.46100000', '21->27': '0.45300000', '22->2': '0.48500000', '22->7': '0.40700000', '22->15': '0.49300000', '22->17': '0.49200000', '22->18': '0.49300000', '22->25': '0.34100000', '22->26': '0.47800000', '22->27': '0.49600000', '24->2': '0.43900000', '24->7': '0.46700000', '24->15': '0.35900000', '24->17': '0.29800000', '24->18': '0.33700000', '24->25': '0.37300000', '24->26': '0.43600000', '24->27': '0.48400000', '28->2': '0.46000000', '28->7': '0.44800000', '28->15': '0.46400000', '28->17': '0.49500000', '28->18': '0.46800000', '28->25': '0.45200000', '28->26': '0.10900000', '28->27': '0.49300000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",4,15,probe_repair,"[10, 20, 45, 130, 160, 180, 210, 215, 255, 295, 305, 310, 330, 340, 345]",0.00800000,0.42620000,11->2,"{'4->2': '0.33000000', '4->7': '0.50000000', '4->15': '0.36000000', '4->17': '0.47900000', '4->18': '0.49200000', '4->25': '0.37600000', '4->26': '0.46900000', '4->27': '0.41300000', '6->2': '0.49800000', '6->7': '0.44800000', '6->15': '0.44800000', '6->17': '0.40900000', '6->18': '0.39200000', '6->25': '0.14800000', '6->26': '0.44700000', '6->27': '0.47300000', '9->2': '0.39100000', '9->7': '0.49500000', '9->15': '0.48100000', '9->17': '0.46400000', '9->18': '0.30500000', '9->25': '0.45900000', '9->26': '0.39600000', '9->27': '0.48000000', '11->2': '0.00800000', '11->7': '0.48800000', '11->15': '0.48200000', '11->17': '0.49100000', '11->18': '0.48200000', '11->25': '0.48400000', '11->26': '0.49100000', '11->27': '0.49500000', '16->2': '0.44500000', '16->7': '0.47900000', '16->15': '0.43500000', '16->17': '0.45800000', '16->18': '0.20300000', '16->25': '0.46900000', '16->26': '0.46400000', '16->27': '0.42000000', '20->2': '0.46600000', '20->7': '0.42400000', '20->15': '0.43600000', '20->17': '0.48700000', '20->18': '0.49000000', '20->25': '0.42800000', '20->26': '0.48700000', '20->27': '0.42500000', '21->2': '0.40800000', '21->7': '0.39000000', '21->15': '0.47600000', '21->17': '0.49700000', '21->18': '0.49400000', '21->25': '0.44200000', '21->26': '0.48700000', '21->27': '0.46300000', '22->2': '0.43100000', '22->7': '0.39300000', '22->15': '0.27900000', '22->17': '0.46200000', '22->18': '0.48500000', '22->25': '0.48300000', '22->26': '0.23400000', '22->27': '0.47000000', '24->2': '0.48200000', '24->7': '0.18200000', '24->15': '0.36400000', '24->17': '0.44500000', '24->18': '0.47600000', '24->25': '0.48800000', '24->26': '0.48700000', '24->27': '0.44500000', '28->2': '0.36100000', '28->7': '0.46700000', '28->15': '0.48900000', '28->17': '0.32800000', '28->18': '0.23300000', '28->25': '0.45700000', '28->26': '0.48000000', '28->27': '0.42800000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",5,82,probe_repair,"[15, 50, 55, 60, 100, 120, 160, 170, 200, 205, 210, 215, 220, 285, 345]",0.10200000,0.45392500,4->7,"{'4->2': '0.46800000', '4->7': '0.10200000', '4->15': '0.49400000', '4->17': '0.46900000', '4->18': '0.49600000', '4->25': '0.48800000', '4->26': '0.47300000', '4->27': '0.46300000', '6->2': '0.43200000', '6->7': '0.49600000', '6->15': '0.43000000', '6->17': '0.49300000', '6->18': '0.47400000', '6->25': '0.49200000', '6->26': '0.42100000', '6->27': '0.48300000', '9->2': '0.45300000', '9->7': '0.47500000', '9->15': '0.43300000', '9->17': '0.47800000', '9->18': '0.45700000', '9->25': '0.38500000', '9->26': '0.39800000', '9->27': '0.47000000', '11->2': '0.42500000', '11->7': '0.49700000', '11->15': '0.44100000', '11->17': '0.46200000', '11->18': '0.46700000', '11->25': '0.47100000', '11->26': '0.47200000', '11->27': '0.49000000', '16->2': '0.49300000', '16->7': '0.29700000', '16->15': '0.47500000', '16->17': '0.42400000', '16->18': '0.46500000', '16->25': '0.45900000', '16->26': '0.44400000', '16->27': '0.48800000', '20->2': '0.40200000', '20->7': '0.48600000', '20->15': '0.47800000', '20->17': '0.48300000', '20->18': '0.38800000', '20->25': '0.50000000', '20->26': '0.48500000', '20->27': '0.45100000', '21->2': '0.43900000', '21->7': '0.47300000', '21->15': '0.48300000', '21->17': '0.49400000', '21->18': '0.39700000', '21->25': '0.46500000', '21->26': '0.43200000', '21->27': '0.48000000', '22->2': '0.41800000', '22->7': '0.47000000', '22->15': '0.40600000', '22->17': '0.45300000', '22->18': '0.47800000', '22->25': '0.47600000', '22->26': '0.44100000', '22->27': '0.49100000', '24->2': '0.48700000', '24->7': '0.49300000', '24->15': '0.48900000', '24->17': '0.33200000', '24->18': '0.40100000', '24->25': '0.40500000', '24->26': '0.48400000', '24->27': '0.49400000', '28->2': '0.46700000', '28->7': '0.46100000', '28->15': '0.48500000', '28->17': '0.48600000', '28->18': '0.39500000', '28->25': '0.48100000', '28->26': '0.49400000', '28->27': '0.49800000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",6,67,probe_repair,"[10, 20, 40, 80, 85, 115, 135, 140, 220, 245, 285, 290, 300, 345, 365]",0.05900000,0.43870000,20->26,"{'4->2': '0.49700000', '4->7': '0.48700000', '4->15': '0.45900000', '4->17': '0.45400000', '4->18': '0.38900000', '4->25': '0.49300000', '4->26': '0.39400000', '4->27': '0.40000000', '6->2': '0.42500000', '6->7': '0.44700000', '6->15': '0.47100000', '6->17': '0.46200000', '6->18': '0.49900000', '6->25': '0.40700000', '6->26': '0.45800000', '6->27': '0.44600000', '9->2': '0.47700000', '9->7': '0.47100000', '9->15': '0.46700000', '9->17': '0.38200000', '9->18': '0.48500000', '9->25': '0.48500000', '9->26': '0.41400000', '9->27': '0.38800000', '11->2': '0.44900000', '11->7': '0.47900000', '11->15': '0.44100000', '11->17': '0.49400000', '11->18': '0.16500000', '11->25': '0.49300000', '11->26': '0.45200000', '11->27': '0.48800000', '16->2': '0.46000000', '16->7': '0.37800000', '16->15': '0.47400000', '16->17': '0.49500000', '16->18': '0.49200000', '16->25': '0.48800000', '16->26': '0.41900000', '16->27': '0.33500000', '20->2': '0.49600000', '20->7': '0.46800000', '20->15': '0.48200000', '20->17': '0.47100000', '20->18': '0.49600000', '20->25': '0.48000000', '20->26': '0.05900000', '20->27': '0.45700000', '21->2': '0.47800000', '21->7': '0.47600000', '21->15': '0.47000000', '21->17': '0.48700000', '21->18': '0.45000000', '21->25': '0.17800000', '21->26': '0.48500000', '21->27': '0.49100000', '22->2': '0.47000000', '22->7': '0.08400000', '22->15': '0.48200000', '22->17': '0.48100000', '22->18': '0.48600000', '22->25': '0.49600000', '22->26': '0.46300000', '22->27': '0.48500000', '24->2': '0.49900000', '24->7': '0.45100000', '24->15': '0.40100000', '24->17': '0.25200000', '24->18': '0.48900000', '24->25': '0.46500000', '24->26': '0.46600000', '24->27': '0.47400000', '28->2': '0.48300000', '28->7': '0.44700000', '28->15': '0.48900000', '28->17': '0.48400000', '28->18': '0.47900000', '28->25': '0.47500000', '28->26': '0.13000000', '28->27': '0.48200000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",7,86,probe_repair,"[15, 20, 55, 80, 90, 100, 160, 190, 205, 240, 250, 270, 300, 310, 330]",0.18500000,0.45590000,24->26,"{'4->2': '0.35800000', '4->7': '0.40600000', '4->15': '0.47200000', '4->17': '0.47500000', '4->18': '0.49000000', '4->25': '0.45600000', '4->26': '0.48900000', '4->27': '0.44900000', '6->2': '0.50000000', '6->7': '0.35400000', '6->15': '0.48400000', '6->17': '0.48300000', '6->18': '0.49600000', '6->25': '0.48800000', '6->26': '0.49500000', '6->27': '0.45700000', '9->2': '0.39400000', '9->7': '0.47600000', '9->15': '0.46800000', '9->17': '0.42100000', '9->18': '0.49600000', '9->25': '0.44400000', '9->26': '0.47700000', '9->27': '0.41300000', '11->2': '0.49600000', '11->7': '0.45000000', '11->15': '0.43800000', '11->17': '0.47900000', '11->18': '0.46800000', '11->25': '0.48600000', '11->26': '0.47300000', '11->27': '0.48700000', '16->2': '0.47800000', '16->7': '0.46800000', '16->15': '0.46600000', '16->17': '0.40500000', '16->18': '0.47400000', '16->25': '0.40000000', '16->26': '0.45500000', '16->27': '0.48100000', '20->2': '0.49100000', '20->7': '0.44700000', '20->15': '0.48300000', '20->17': '0.34400000', '20->18': '0.41500000', '20->25': '0.44100000', '20->26': '0.48800000', '20->27': '0.48200000', '21->2': '0.45400000', '21->7': '0.43600000', '21->15': '0.44600000', '21->17': '0.49700000', '21->18': '0.48000000', '21->25': '0.41000000', '21->26': '0.41700000', '21->27': '0.49300000', '22->2': '0.48900000', '22->7': '0.49500000', '22->15': '0.47500000', '22->17': '0.48400000', '22->18': '0.47500000', '22->25': '0.47100000', '22->26': '0.34400000', '22->27': '0.47800000', '24->2': '0.49200000', '24->7': '0.48600000', '24->15': '0.47600000', '24->17': '0.49700000', '24->18': '0.47600000', '24->25': '0.49600000', '24->26': '0.18500000', '24->27': '0.49300000', '28->2': '0.44400000', '28->7': '0.47000000', '28->15': '0.43000000', '28->17': '0.46900000', '28->18': '0.47400000', '28->25': '0.43600000', '28->26': '0.45500000', '28->27': '0.41300000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",8,11,probe_repair,"[10, 30, 35, 45, 55, 90, 105, 135, 250, 255, 265, 310, 335, 360, 365]",0.00100000,0.44775000,6->26,"{'4->2': '0.46900000', '4->7': '0.48900000', '4->15': '0.48700000', '4->17': '0.46800000', '4->18': '0.31300000', '4->25': '0.46100000', '4->26': '0.38800000', '4->27': '0.45600000', '6->2': '0.49600000', '6->7': '0.48600000', '6->15': '0.47200000', '6->17': '0.47500000', '6->18': '0.49800000', '6->25': '0.49600000', '6->26': '0.00100000', '6->27': '0.47300000', '9->2': '0.49000000', '9->7': '0.48800000', '9->15': '0.43000000', '9->17': '0.49300000', '9->18': '0.40600000', '9->25': '0.47400000', '9->26': '0.47500000', '9->27': '0.29500000', '11->2': '0.49500000', '11->7': '0.48700000', '11->15': '0.48100000', '11->17': '0.44400000', '11->18': '0.47700000', '11->25': '0.48500000', '11->26': '0.49200000', '11->27': '0.48000000', '16->2': '0.38900000', '16->7': '0.47900000', '16->15': '0.46300000', '16->17': '0.45200000', '16->18': '0.39300000', '16->25': '0.49100000', '16->26': '0.46800000', '16->27': '0.47600000', '20->2': '0.41100000', '20->7': '0.47700000', '20->15': '0.44900000', '20->17': '0.47000000', '20->18': '0.49500000', '20->25': '0.48700000', '20->26': '0.25400000', '20->27': '0.49000000', '21->2': '0.44000000', '21->7': '0.40200000', '21->15': '0.45000000', '21->17': '0.48500000', '21->18': '0.48200000', '21->25': '0.47400000', '21->26': '0.47300000', '21->27': '0.36100000', '22->2': '0.29900000', '22->7': '0.48300000', '22->15': '0.49300000', '22->17': '0.42000000', '22->18': '0.44900000', '22->25': '0.48100000', '22->26': '0.41200000', '22->27': '0.46200000', '24->2': '0.43000000', '24->7': '0.49600000', '24->15': '0.41000000', '24->17': '0.44900000', '24->18': '0.48600000', '24->25': '0.49400000', '24->26': '0.49700000', '24->27': '0.44300000', '28->2': '0.42700000', '28->7': '0.49500000', '28->15': '0.42500000', '28->17': '0.35600000', '28->18': '0.49100000', '28->25': '0.46100000', '28->26': '0.46800000', '28->27': '0.46200000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",9,81,probe_repair,"[15, 50, 55, 60, 100, 120, 160, 170, 200, 205, 210, 215, 220, 285, 345]",0.14300000,0.45695000,4->7,"{'4->2': '0.48100000', '4->7': '0.14300000', '4->15': '0.43300000', '4->17': '0.49400000', '4->18': '0.49900000', '4->25': '0.47300000', '4->26': '0.48400000', '4->27': '0.47800000', '6->2': '0.45700000', '6->7': '0.48900000', '6->15': '0.34100000', '6->17': '0.48600000', '6->18': '0.47500000', '6->25': '0.48300000', '6->26': '0.47200000', '6->27': '0.50000000', '9->2': '0.40300000', '9->7': '0.49100000', '9->15': '0.47700000', '9->17': '0.48000000', '9->18': '0.46700000', '9->25': '0.39100000', '9->26': '0.49800000', '9->27': '0.46200000', '11->2': '0.49700000', '11->7': '0.45900000', '11->15': '0.46100000', '11->17': '0.44000000', '11->18': '0.42900000', '11->25': '0.47100000', '11->26': '0.49800000', '11->27': '0.47200000', '16->2': '0.48500000', '16->7': '0.22700000', '16->15': '0.45100000', '16->17': '0.46200000', '16->18': '0.49300000', '16->25': '0.49700000', '16->26': '0.45600000', '16->27': '0.48200000', '20->2': '0.33500000', '20->7': '0.44100000', '20->15': '0.47900000', '20->17': '0.48400000', '20->18': '0.44900000', '20->25': '0.48300000', '20->26': '0.47000000', '20->27': '0.48800000', '21->2': '0.48400000', '21->7': '0.43800000', '21->15': '0.47200000', '21->17': '0.48900000', '21->18': '0.41600000', '21->25': '0.47200000', '21->26': '0.47900000', '21->27': '0.46300000', '22->2': '0.45800000', '22->7': '0.46600000', '22->15': '0.39400000', '22->17': '0.41700000', '22->18': '0.42200000', '22->25': '0.48400000', '22->26': '0.47300000', '22->27': '0.45900000', '24->2': '0.49800000', '24->7': '0.49000000', '24->15': '0.48400000', '24->17': '0.35500000', '24->18': '0.48600000', '24->25': '0.46400000', '24->26': '0.48900000', '24->27': '0.46900000', '28->2': '0.47600000', '28->7': '0.48000000', '28->15': '0.48000000', '28->17': '0.49900000', '28->18': '0.42800000', '28->25': '0.45400000', '28->26': '0.49500000', '28->27': '0.45700000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",10,12,probe_repair,"[10, 30, 35, 45, 55, 90, 105, 135, 250, 255, 265, 310, 335, 360, 365]",0.09000000,0.45865000,6->26,"{'4->2': '0.49900000', '4->7': '0.48300000', '4->15': '0.47100000', '4->17': '0.47800000', '4->18': '0.37500000', '4->25': '0.40300000', '4->26': '0.39400000', '4->27': '0.49200000', '6->2': '0.49700000', '6->7': '0.46900000', '6->15': '0.49900000', '6->17': '0.47800000', '6->18': '0.44700000', '6->25': '0.44700000', '6->26': '0.09000000', '6->27': '0.43800000', '9->2': '0.49800000', '9->7': '0.47400000', '9->15': '0.44000000', '9->17': '0.47700000', '9->18': '0.38600000', '9->25': '0.49000000', '9->26': '0.47700000', '9->27': '0.38900000', '11->2': '0.48200000', '11->7': '0.46400000', '11->15': '0.48800000', '11->17': '0.40700000', '11->18': '0.41000000', '11->25': '0.46800000', '11->26': '0.48500000', '11->27': '0.43300000', '16->2': '0.45900000', '16->7': '0.48500000', '16->15': '0.47700000', '16->17': '0.49400000', '16->18': '0.43900000', '16->25': '0.49500000', '16->26': '0.48600000', '16->27': '0.49800000', '20->2': '0.45300000', '20->7': '0.48500000', '20->15': '0.49900000', '20->17': '0.48800000', '20->18': '0.47300000', '20->25': '0.44700000', '20->26': '0.39000000', '20->27': '0.47400000', '21->2': '0.49500000', '21->7': '0.47900000', '21->15': '0.47900000', '21->17': '0.46400000', '21->18': '0.48700000', '21->25': '0.49700000', '21->26': '0.47600000', '21->27': '0.31600000', '22->2': '0.47700000', '22->7': '0.49500000', '22->15': '0.49100000', '22->17': '0.48600000', '22->18': '0.48900000', '22->25': '0.48700000', '22->26': '0.48800000', '22->27': '0.48800000', '24->2': '0.48300000', '24->7': '0.47100000', '24->15': '0.43700000', '24->17': '0.49000000', '24->18': '0.49300000', '24->25': '0.48100000', '24->26': '0.36800000', '24->27': '0.49200000', '28->2': '0.47400000', '28->7': '0.46200000', '28->15': '0.40200000', '28->17': '0.43100000', '28->18': '0.46800000', '28->25': '0.44000000', '28->26': '0.46300000', '28->27': '0.47300000'}"
