position_combination,selection_rank,mapping_id,candidate_source,selected_mapping_count,authorized_position_bers,authorized_max_ber,candidate_min_route_min_ber,candidate_average_route_min_ber,selected_pool_min_route_min_ber,selected_pool_average_route_min_ber,worst_route,route_min_bers
"(2, 7, 15, 17, 18, 25, 26, 27)",1,113,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.03000000,0.44700000,0.03000000,0.44700000,5->15,"{'1->2': '0.43600000', '1->7': '0.49800000', '1->15': '0.35600000', '1->17': '0.37900000', '1->18': '0.46600000', '1->25': '0.38800000', '1->26': '0.47900000', '1->27': '0.34700000', '4->2': '0.44600000', '4->7': '0.49800000', '4->15': '0.35600000', '4->17': '0.45300000', '4->18': '0.49000000', '4->25': '0.44800000', '4->26': '0.38700000', '4->27': '0.46300000', '5->2': '0.49200000', '5->7': '0.46800000', '5->15': '0.03000000', '5->17': '0.48300000', '5->18': '0.49200000', '5->25': '0.50000000', '5->26': '0.48100000', '5->27': '0.47700000', '6->2': '0.48900000', '6->7': '0.47500000', '6->15': '0.49700000', '6->17': '0.45200000', '6->18': '0.48300000', '6->25': '0.48700000', '6->26': '0.48200000', '6->27': '0.45600000', '9->2': '0.47300000', '9->7': '0.32100000', '9->15': '0.49900000', '9->17': '0.48600000', '9->18': '0.47100000', '9->25': '0.47900000', '9->26': '0.40400000', '9->27': '0.45200000', '11->2': '0.46900000', '11->7': '0.47900000', '11->15': '0.47500000', '11->17': '0.43600000', '11->18': '0.45100000', '11->25': '0.48100000', '11->26': '0.47200000', '11->27': '0.48200000', '16->2': '0.49600000', '16->7': '0.48600000', '16->15': '0.47200000', '16->17': '0.45500000', '16->18': '0.48800000', '16->25': '0.43200000', '16->26': '0.46700000', '16->27': '0.34900000', '20->2': '0.38500000', '20->7': '0.46900000', '20->15': '0.45700000', '20->17': '0.49800000', '20->18': '0.46300000', '20->25': '0.47700000', '20->26': '0.49800000', '20->27': '0.47600000', '21->2': '0.47000000', '21->7': '0.47000000', '21->15': '0.44600000', '21->17': '0.49700000', '21->18': '0.41200000', '21->25': '0.48200000', '21->26': '0.39700000', '21->27': '0.49700000', '22->2': '0.49000000', '22->7': '0.46600000', '22->15': '0.34000000', '22->17': '0.44500000', '22->18': '0.46000000', '22->25': '0.49600000', '22->26': '0.40300000', '22->27': '0.44500000', '24->2': '0.27200000', '24->7': '0.45200000', '24->15': '0.40600000', '24->17': '0.39100000', '24->18': '0.46000000', '24->25': '0.46800000', '24->26': '0.40100000', '24->27': '0.47300000', '28->2': '0.44400000', '28->7': '0.38400000', '28->15': '0.45400000', '28->17': '0.41900000', '28->18': '0.49200000', '28->25': '0.41600000', '28->26': '0.47500000', '28->27': '0.45700000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",2,41,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.02900000,0.45437500,0.02950000,0.45360417,5->15,"{'1->2': '0.44000000', '1->7': '0.45600000', '1->15': '0.39400000', '1->17': '0.42900000', '1->18': '0.48000000', '1->25': '0.41800000', '1->26': '0.47100000', '1->27': '0.26500000', '4->2': '0.49700000', '4->7': '0.49700000', '4->15': '0.36500000', '4->17': '0.34000000', '4->18': '0.47700000', '4->25': '0.47700000', '4->26': '0.47800000', '4->27': '0.47200000', '5->2': '0.49700000', '5->7': '0.46100000', '5->15': '0.02900000', '5->17': '0.49400000', '5->18': '0.46900000', '5->25': '0.47700000', '5->26': '0.46600000', '5->27': '0.47000000', '6->2': '0.48600000', '6->7': '0.48800000', '6->15': '0.48200000', '6->17': '0.49100000', '6->18': '0.47600000', '6->25': '0.48800000', '6->26': '0.48500000', '6->27': '0.43100000', '9->2': '0.48600000', '9->7': '0.46400000', '9->15': '0.49400000', '9->17': '0.49900000', '9->18': '0.49000000', '9->25': '0.47600000', '9->26': '0.49500000', '9->27': '0.47900000', '11->2': '0.48900000', '11->7': '0.48900000', '11->15': '0.48700000', '11->17': '0.45400000', '11->18': '0.48100000', '11->25': '0.47700000', '11->26': '0.47600000', '11->27': '0.48400000', '16->2': '0.48100000', '16->7': '0.49900000', '16->15': '0.49700000', '16->17': '0.45400000', '16->18': '0.48100000', '16->25': '0.42300000', '16->26': '0.49600000', '16->27': '0.31800000', '20->2': '0.46300000', '20->7': '0.47100000', '20->15': '0.49900000', '20->17': '0.47000000', '20->18': '0.36700000', '20->25': '0.45900000', '20->26': '0.45000000', '20->27': '0.49200000', '21->2': '0.47000000', '21->7': '0.47400000', '21->15': '0.46000000', '21->17': '0.44300000', '21->18': '0.44200000', '21->25': '0.46200000', '21->26': '0.44100000', '21->27': '0.46900000', '22->2': '0.48700000', '22->7': '0.48500000', '22->15': '0.39700000', '22->17': '0.47000000', '22->18': '0.47700000', '22->25': '0.48100000', '22->26': '0.48000000', '22->27': '0.48800000', '24->2': '0.31500000', '24->7': '0.43500000', '24->15': '0.42100000', '24->17': '0.43000000', '24->18': '0.48100000', '24->25': '0.39700000', '24->26': '0.39000000', '24->27': '0.42400000', '28->2': '0.48000000', '28->7': '0.40600000', '28->15': '0.48600000', '28->17': '0.46300000', '28->18': '0.49800000', '28->25': '0.40800000', '28->26': '0.47900000', '28->27': '0.49500000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",3,19,base,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.02600000,0.44364583,0.02833333,0.45263889,5->15,"{'1->2': '0.40500000', '1->7': '0.47500000', '1->15': '0.34300000', '1->17': '0.40400000', '1->18': '0.48100000', '1->25': '0.36900000', '1->26': '0.45400000', '1->27': '0.29200000', '4->2': '0.38600000', '4->7': '0.45400000', '4->15': '0.36400000', '4->17': '0.45500000', '4->18': '0.46600000', '4->25': '0.47400000', '4->26': '0.48500000', '4->27': '0.48500000', '5->2': '0.49400000', '5->7': '0.45800000', '5->15': '0.02600000', '5->17': '0.48900000', '5->18': '0.49400000', '5->25': '0.47000000', '5->26': '0.47700000', '5->27': '0.47500000', '6->2': '0.48700000', '6->7': '0.46900000', '6->15': '0.48500000', '6->17': '0.40200000', '6->18': '0.47300000', '6->25': '0.45100000', '6->26': '0.48400000', '6->27': '0.49000000', '9->2': '0.44600000', '9->7': '0.47200000', '9->15': '0.44400000', '9->17': '0.49300000', '9->18': '0.48000000', '9->25': '0.49000000', '9->26': '0.48500000', '9->27': '0.46100000', '11->2': '0.49900000', '11->7': '0.45100000', '11->15': '0.44900000', '11->17': '0.44600000', '11->18': '0.46700000', '11->25': '0.49300000', '11->26': '0.47000000', '11->27': '0.47400000', '16->2': '0.48000000', '16->7': '0.45000000', '16->15': '0.46400000', '16->17': '0.45700000', '16->18': '0.42200000', '16->25': '0.46600000', '16->26': '0.49500000', '16->27': '0.24900000', '20->2': '0.34800000', '20->7': '0.48000000', '20->15': '0.48000000', '20->17': '0.48900000', '20->18': '0.40200000', '20->25': '0.49800000', '20->26': '0.49500000', '20->27': '0.49500000', '21->2': '0.45900000', '21->7': '0.46300000', '21->15': '0.47100000', '21->17': '0.49000000', '21->18': '0.47300000', '21->25': '0.34700000', '21->26': '0.34600000', '21->27': '0.47800000', '22->2': '0.46300000', '22->7': '0.49100000', '22->15': '0.33300000', '22->17': '0.45600000', '22->18': '0.46300000', '22->25': '0.46700000', '22->26': '0.45000000', '22->27': '0.41200000', '24->2': '0.22800000', '24->7': '0.41800000', '24->15': '0.46000000', '24->17': '0.36300000', '24->18': '0.49400000', '24->25': '0.43800000', '24->26': '0.41100000', '24->27': '0.47500000', '28->2': '0.41700000', '28->7': '0.42100000', '28->15': '0.49300000', '28->17': '0.40200000', '28->18': '0.46900000', '28->25': '0.44700000', '28->26': '0.48600000', '28->27': '0.50000000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",4,76,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01900000,0.44810417,0.02600000,0.45283333,5->15,"{'1->2': '0.39500000', '1->7': '0.48300000', '1->15': '0.34100000', '1->17': '0.39800000', '1->18': '0.49500000', '1->25': '0.43900000', '1->26': '0.47200000', '1->27': '0.21400000', '4->2': '0.48700000', '4->7': '0.46900000', '4->15': '0.39100000', '4->17': '0.38200000', '4->18': '0.49900000', '4->25': '0.47100000', '4->26': '0.45800000', '4->27': '0.50000000', '5->2': '0.49100000', '5->7': '0.46900000', '5->15': '0.01900000', '5->17': '0.50000000', '5->18': '0.49900000', '5->25': '0.47700000', '5->26': '0.46400000', '5->27': '0.46600000', '6->2': '0.48300000', '6->7': '0.49500000', '6->15': '0.49700000', '6->17': '0.42600000', '6->18': '0.45900000', '6->25': '0.48700000', '6->26': '0.48400000', '6->27': '0.49600000', '9->2': '0.49000000', '9->7': '0.49600000', '9->15': '0.46400000', '9->17': '0.49300000', '9->18': '0.49200000', '9->25': '0.47200000', '9->26': '0.49900000', '9->27': '0.44300000', '11->2': '0.47100000', '11->7': '0.49300000', '11->15': '0.41300000', '11->17': '0.44800000', '11->18': '0.46900000', '11->25': '0.43700000', '11->26': '0.48600000', '11->27': '0.43400000', '16->2': '0.46200000', '16->7': '0.49800000', '16->15': '0.47800000', '16->17': '0.40900000', '16->18': '0.48200000', '16->25': '0.49600000', '16->26': '0.48700000', '16->27': '0.26900000', '20->2': '0.45200000', '20->7': '0.49800000', '20->15': '0.48800000', '20->17': '0.41100000', '20->18': '0.46600000', '20->25': '0.47800000', '20->26': '0.49500000', '20->27': '0.48100000', '21->2': '0.48400000', '21->7': '0.49200000', '21->15': '0.45800000', '21->17': '0.45700000', '21->18': '0.49600000', '21->25': '0.42400000', '21->26': '0.34500000', '21->27': '0.49300000', '22->2': '0.45400000', '22->7': '0.47400000', '22->15': '0.29200000', '22->17': '0.44700000', '22->18': '0.42600000', '22->25': '0.46600000', '22->26': '0.42500000', '22->27': '0.46300000', '24->2': '0.29000000', '24->7': '0.43600000', '24->15': '0.45400000', '24->17': '0.34700000', '24->18': '0.46200000', '24->25': '0.44200000', '24->26': '0.44900000', '24->27': '0.42100000', '28->2': '0.47000000', '28->7': '0.34000000', '28->15': '0.49000000', '28->17': '0.45100000', '28->18': '0.49200000', '28->25': '0.44600000', '28->26': '0.49700000', '28->27': '0.47900000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",5,94,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01600000,0.44708333,0.02400000,0.45288750,5->15,"{'1->2': '0.43100000', '1->7': '0.47100000', '1->15': '0.38700000', '1->17': '0.38600000', '1->18': '0.49300000', '1->25': '0.43100000', '1->26': '0.45000000', '1->27': '0.29800000', '4->2': '0.47400000', '4->7': '0.48000000', '4->15': '0.35000000', '4->17': '0.39900000', '4->18': '0.49400000', '4->25': '0.42400000', '4->26': '0.41500000', '4->27': '0.48900000', '5->2': '0.47600000', '5->7': '0.47000000', '5->15': '0.01600000', '5->17': '0.49700000', '5->18': '0.49400000', '5->25': '0.48000000', '5->26': '0.45700000', '5->27': '0.49100000', '6->2': '0.49100000', '6->7': '0.49100000', '6->15': '0.49100000', '6->17': '0.46600000', '6->18': '0.46100000', '6->25': '0.46900000', '6->26': '0.49200000', '6->27': '0.47000000', '9->2': '0.48000000', '9->7': '0.46400000', '9->15': '0.40600000', '9->17': '0.48900000', '9->18': '0.47600000', '9->25': '0.47000000', '9->26': '0.48700000', '9->27': '0.49100000', '11->2': '0.48100000', '11->7': '0.46300000', '11->15': '0.40300000', '11->17': '0.48200000', '11->18': '0.43700000', '11->25': '0.43500000', '11->26': '0.47800000', '11->27': '0.49000000', '16->2': '0.48800000', '16->7': '0.45600000', '16->15': '0.48600000', '16->17': '0.44500000', '16->18': '0.48200000', '16->25': '0.47000000', '16->26': '0.49300000', '16->27': '0.29100000', '20->2': '0.33500000', '20->7': '0.43700000', '20->15': '0.46900000', '20->17': '0.47400000', '20->18': '0.41300000', '20->25': '0.49900000', '20->26': '0.44200000', '20->27': '0.47200000', '21->2': '0.44400000', '21->7': '0.48800000', '21->15': '0.50000000', '21->17': '0.48500000', '21->18': '0.49600000', '21->25': '0.45200000', '21->26': '0.46300000', '21->27': '0.45300000', '22->2': '0.46100000', '22->7': '0.46700000', '22->15': '0.29700000', '22->17': '0.42200000', '22->18': '0.44500000', '22->25': '0.49500000', '22->26': '0.46800000', '22->27': '0.41800000', '24->2': '0.32700000', '24->7': '0.43100000', '24->15': '0.47500000', '24->17': '0.31800000', '24->18': '0.46700000', '24->25': '0.45500000', '24->26': '0.42800000', '24->27': '0.45400000', '28->2': '0.41800000', '28->7': '0.44800000', '28->15': '0.43000000', '28->17': '0.44300000', '28->18': '0.49800000', '28->25': '0.42400000', '28->26': '0.48700000', '28->27': '0.49500000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",6,85,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01400000,0.44329167,0.02233333,0.45186111,5->15,"{'1->2': '0.35400000', '1->7': '0.48000000', '1->15': '0.41400000', '1->17': '0.39300000', '1->18': '0.48800000', '1->25': '0.41000000', '1->26': '0.46100000', '1->27': '0.26300000', '4->2': '0.39200000', '4->7': '0.50000000', '4->15': '0.35400000', '4->17': '0.47100000', '4->18': '0.49400000', '4->25': '0.40000000', '4->26': '0.49300000', '4->27': '0.45900000', '5->2': '0.48200000', '5->7': '0.46000000', '5->15': '0.01400000', '5->17': '0.49500000', '5->18': '0.48400000', '5->25': '0.48000000', '5->26': '0.47300000', '5->27': '0.48300000', '6->2': '0.46300000', '6->7': '0.43500000', '6->15': '0.49900000', '6->17': '0.43400000', '6->18': '0.48500000', '6->25': '0.43100000', '6->26': '0.48200000', '6->27': '0.49000000', '9->2': '0.48300000', '9->7': '0.40700000', '9->15': '0.41900000', '9->17': '0.49400000', '9->18': '0.49500000', '9->25': '0.47100000', '9->26': '0.47800000', '9->27': '0.46800000', '11->2': '0.49900000', '11->7': '0.49100000', '11->15': '0.42500000', '11->17': '0.48000000', '11->18': '0.49500000', '11->25': '0.47500000', '11->26': '0.47600000', '11->27': '0.45400000', '16->2': '0.48800000', '16->7': '0.47400000', '16->15': '0.44800000', '16->17': '0.37500000', '16->18': '0.47000000', '16->25': '0.48200000', '16->26': '0.44300000', '16->27': '0.33100000', '20->2': '0.48800000', '20->7': '0.44200000', '20->15': '0.46800000', '20->17': '0.42900000', '20->18': '0.41600000', '20->25': '0.49200000', '20->26': '0.49100000', '20->27': '0.47300000', '21->2': '0.46900000', '21->7': '0.49500000', '21->15': '0.41500000', '21->17': '0.46600000', '21->18': '0.44500000', '21->25': '0.37900000', '21->26': '0.49000000', '21->27': '0.46600000', '22->2': '0.47100000', '22->7': '0.49700000', '22->15': '0.26300000', '22->17': '0.42400000', '22->18': '0.45900000', '22->25': '0.49500000', '22->26': '0.46400000', '22->27': '0.43000000', '24->2': '0.24400000', '24->7': '0.49600000', '24->15': '0.37800000', '24->17': '0.39300000', '24->18': '0.49400000', '24->25': '0.43400000', '24->26': '0.43900000', '24->27': '0.42100000', '28->2': '0.48000000', '28->7': '0.37000000', '28->15': '0.46400000', '28->17': '0.38300000', '28->18': '0.46400000', '28->25': '0.39800000', '28->26': '0.44300000', '28->27': '0.49100000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",7,133,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01300000,0.44410417,0.02100000,0.45188393,5->15,"{'1->2': '0.39500000', '1->7': '0.49900000', '1->15': '0.45100000', '1->17': '0.43000000', '1->18': '0.48900000', '1->25': '0.43700000', '1->26': '0.45200000', '1->27': '0.16800000', '4->2': '0.48100000', '4->7': '0.47900000', '4->15': '0.37300000', '4->17': '0.45400000', '4->18': '0.49500000', '4->25': '0.45100000', '4->26': '0.42200000', '4->27': '0.48000000', '5->2': '0.48700000', '5->7': '0.45500000', '5->15': '0.01300000', '5->17': '0.49400000', '5->18': '0.49700000', '5->25': '0.48900000', '5->26': '0.46800000', '5->27': '0.48400000', '6->2': '0.49000000', '6->7': '0.43800000', '6->15': '0.46600000', '6->17': '0.48100000', '6->18': '0.49600000', '6->25': '0.44600000', '6->26': '0.47300000', '6->27': '0.48700000', '9->2': '0.49100000', '9->7': '0.42300000', '9->15': '0.45300000', '9->17': '0.45800000', '9->18': '0.49100000', '9->25': '0.48300000', '9->26': '0.46200000', '9->27': '0.45800000', '11->2': '0.48300000', '11->7': '0.48500000', '11->15': '0.40300000', '11->17': '0.45400000', '11->18': '0.46900000', '11->25': '0.45700000', '11->26': '0.49600000', '11->27': '0.47600000', '16->2': '0.47000000', '16->7': '0.48600000', '16->15': '0.46400000', '16->17': '0.32500000', '16->18': '0.46600000', '16->25': '0.45600000', '16->26': '0.43900000', '16->27': '0.39500000', '20->2': '0.36100000', '20->7': '0.49100000', '20->15': '0.48300000', '20->17': '0.45800000', '20->18': '0.37300000', '20->25': '0.46700000', '20->26': '0.46600000', '20->27': '0.46400000', '21->2': '0.48700000', '21->7': '0.47500000', '21->15': '0.45700000', '21->17': '0.46200000', '21->18': '0.42900000', '21->25': '0.45300000', '21->26': '0.36400000', '21->27': '0.49400000', '22->2': '0.49600000', '22->7': '0.46600000', '22->15': '0.27800000', '22->17': '0.41700000', '22->18': '0.48800000', '22->25': '0.44200000', '22->26': '0.42500000', '22->27': '0.46900000', '24->2': '0.31100000', '24->7': '0.46700000', '24->15': '0.45300000', '24->17': '0.31200000', '24->18': '0.48700000', '24->25': '0.47900000', '24->26': '0.32400000', '24->27': '0.48400000', '28->2': '0.46200000', '28->7': '0.42200000', '28->15': '0.47400000', '28->17': '0.41900000', '28->18': '0.44600000', '28->25': '0.41200000', '28->26': '0.45900000', '28->27': '0.49500000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",8,22,base,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01300000,0.44185417,0.02000000,0.45119271,5->15,"{'1->2': '0.45000000', '1->7': '0.49000000', '1->15': '0.36600000', '1->17': '0.40300000', '1->18': '0.48600000', '1->25': '0.37800000', '1->26': '0.40300000', '1->27': '0.23700000', '4->2': '0.47000000', '4->7': '0.46400000', '4->15': '0.28600000', '4->17': '0.44700000', '4->18': '0.47800000', '4->25': '0.42200000', '4->26': '0.43500000', '4->27': '0.44100000', '5->2': '0.49100000', '5->7': '0.45900000', '5->15': '0.01300000', '5->17': '0.49400000', '5->18': '0.49300000', '5->25': '0.48100000', '5->26': '0.47200000', '5->27': '0.48000000', '6->2': '0.48900000', '6->7': '0.47300000', '6->15': '0.48900000', '6->17': '0.46000000', '6->18': '0.49100000', '6->25': '0.46700000', '6->26': '0.49400000', '6->27': '0.46200000', '9->2': '0.45400000', '9->7': '0.39600000', '9->15': '0.43000000', '9->17': '0.49300000', '9->18': '0.48200000', '9->25': '0.49600000', '9->26': '0.46500000', '9->27': '0.48700000', '11->2': '0.49900000', '11->7': '0.48700000', '11->15': '0.42500000', '11->17': '0.48600000', '11->18': '0.44900000', '11->25': '0.46700000', '11->26': '0.46600000', '11->27': '0.45400000', '16->2': '0.48600000', '16->7': '0.44200000', '16->15': '0.46000000', '16->17': '0.35900000', '16->18': '0.49600000', '16->25': '0.50000000', '16->26': '0.46500000', '16->27': '0.30500000', '20->2': '0.49800000', '20->7': '0.49800000', '20->15': '0.45600000', '20->17': '0.36100000', '20->18': '0.30800000', '20->25': '0.50000000', '20->26': '0.49100000', '20->27': '0.49900000', '21->2': '0.49400000', '21->7': '0.47000000', '21->15': '0.37000000', '21->17': '0.43300000', '21->18': '0.48400000', '21->25': '0.34600000', '21->26': '0.37100000', '21->27': '0.48700000', '22->2': '0.45000000', '22->7': '0.46400000', '22->15': '0.37000000', '22->17': '0.43900000', '22->18': '0.48400000', '22->25': '0.46600000', '22->26': '0.42700000', '22->27': '0.42300000', '24->2': '0.31500000', '24->7': '0.43300000', '24->15': '0.39500000', '24->17': '0.35600000', '24->18': '0.47300000', '24->25': '0.45100000', '24->26': '0.41400000', '24->27': '0.46200000', '28->2': '0.43400000', '28->7': '0.48400000', '28->15': '0.48800000', '28->17': '0.43700000', '28->18': '0.47400000', '28->25': '0.41200000', '28->26': '0.49500000', '28->27': '0.49300000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",9,28,base,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01200000,0.44987500,0.01911111,0.45155324,5->15,"{'1->2': '0.38900000', '1->7': '0.46100000', '1->15': '0.37300000', '1->17': '0.42600000', '1->18': '0.47100000', '1->25': '0.42100000', '1->26': '0.45200000', '1->27': '0.27000000', '4->2': '0.41800000', '4->7': '0.46000000', '4->15': '0.37000000', '4->17': '0.43100000', '4->18': '0.48200000', '4->25': '0.45200000', '4->26': '0.44900000', '4->27': '0.49900000', '5->2': '0.49000000', '5->7': '0.45800000', '5->15': '0.01200000', '5->17': '0.48100000', '5->18': '0.50000000', '5->25': '0.48600000', '5->26': '0.46900000', '5->27': '0.47900000', '6->2': '0.49800000', '6->7': '0.45600000', '6->15': '0.45800000', '6->17': '0.46900000', '6->18': '0.42400000', '6->25': '0.43600000', '6->26': '0.47900000', '6->27': '0.47700000', '9->2': '0.47900000', '9->7': '0.46900000', '9->15': '0.43900000', '9->17': '0.49000000', '9->18': '0.49700000', '9->25': '0.49500000', '9->26': '0.48000000', '9->27': '0.47200000', '11->2': '0.48900000', '11->7': '0.44100000', '11->15': '0.43700000', '11->17': '0.48600000', '11->18': '0.48300000', '11->25': '0.49900000', '11->26': '0.44800000', '11->27': '0.48800000', '16->2': '0.48900000', '16->7': '0.44100000', '16->15': '0.49300000', '16->17': '0.40200000', '16->18': '0.45300000', '16->25': '0.49100000', '16->26': '0.49400000', '16->27': '0.30000000', '20->2': '0.46000000', '20->7': '0.49400000', '20->15': '0.43600000', '20->17': '0.42700000', '20->18': '0.39000000', '20->25': '0.48200000', '20->26': '0.47900000', '20->27': '0.49500000', '21->2': '0.49700000', '21->7': '0.45100000', '21->15': '0.47700000', '21->17': '0.48600000', '21->18': '0.49700000', '21->25': '0.38900000', '21->26': '0.36000000', '21->27': '0.49600000', '22->2': '0.49200000', '22->7': '0.44400000', '22->15': '0.25400000', '22->17': '0.45900000', '22->18': '0.49800000', '22->25': '0.50000000', '22->26': '0.45700000', '22->27': '0.49700000', '24->2': '0.28000000', '24->7': '0.47200000', '24->15': '0.41400000', '24->17': '0.39500000', '24->18': '0.49200000', '24->25': '0.46600000', '24->26': '0.42100000', '24->27': '0.46700000', '28->2': '0.48200000', '28->7': '0.47400000', '28->15': '0.49400000', '28->17': '0.43500000', '28->18': '0.48200000', '28->25': '0.48000000', '28->26': '0.47100000', '28->27': '0.49500000'}"
"(2, 7, 15, 17, 18, 25, 26, 27)",10,115,repair,10,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.00000000,0.01200000,0.44787500,0.01840000,0.45168750,5->15,"{'1->2': '0.35100000', '1->7': '0.49700000', '1->15': '0.46100000', '1->17': '0.45600000', '1->18': '0.49700000', '1->25': '0.42700000', '1->26': '0.44200000', '1->27': '0.27400000', '4->2': '0.45900000', '4->7': '0.47900000', '4->15': '0.35500000', '4->17': '0.41400000', '4->18': '0.47500000', '4->25': '0.44900000', '4->26': '0.48400000', '4->27': '0.45600000', '5->2': '0.49000000', '5->7': '0.45600000', '5->15': '0.01200000', '5->17': '0.46900000', '5->18': '0.49800000', '5->25': '0.48600000', '5->26': '0.47700000', '5->27': '0.48900000', '6->2': '0.46900000', '6->7': '0.48300000', '6->15': '0.47700000', '6->17': '0.46000000', '6->18': '0.48700000', '6->25': '0.49100000', '6->26': '0.49400000', '6->27': '0.45000000', '9->2': '0.48700000', '9->7': '0.44500000', '9->15': '0.49300000', '9->17': '0.49800000', '9->18': '0.45900000', '9->25': '0.47100000', '9->26': '0.48200000', '9->27': '0.47400000', '11->2': '0.49600000', '11->7': '0.47000000', '11->15': '0.46600000', '11->17': '0.42900000', '11->18': '0.49400000', '11->25': '0.45800000', '11->26': '0.44500000', '11->27': '0.45300000', '16->2': '0.47400000', '16->7': '0.45800000', '16->15': '0.47800000', '16->17': '0.40300000', '16->18': '0.44400000', '16->25': '0.48200000', '16->26': '0.49900000', '16->27': '0.31100000', '20->2': '0.49500000', '20->7': '0.49700000', '20->15': '0.46700000', '20->17': '0.41200000', '20->18': '0.42700000', '20->25': '0.47700000', '20->26': '0.49800000', '20->27': '0.50000000', '21->2': '0.47800000', '21->7': '0.49600000', '21->15': '0.45000000', '21->17': '0.46100000', '21->18': '0.43600000', '21->25': '0.48800000', '21->26': '0.34100000', '21->27': '0.47100000', '22->2': '0.44800000', '22->7': '0.44000000', '22->15': '0.29000000', '22->17': '0.44900000', '22->18': '0.44600000', '22->25': '0.49400000', '22->26': '0.44900000', '22->27': '0.45300000', '24->2': '0.29200000', '24->7': '0.42600000', '24->15': '0.40400000', '24->17': '0.36100000', '24->18': '0.48200000', '24->25': '0.42200000', '24->26': '0.38300000', '24->27': '0.40100000', '28->2': '0.46400000', '28->7': '0.49800000', '28->15': '0.46400000', '28->17': '0.47700000', '28->18': '0.46600000', '28->25': '0.42200000', '28->26': '0.46900000', '28->27': '0.46900000'}"
